review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
751419612,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hilton Grand Vacations at Hilton Hawaiian Village,"March 19, 2020","With several Hilton hotels all in this complex together it is very busy, however there are SO many shops and dinning areas that you could stay here and not have to venture out far when shopping and dinning is on the agenda",Tmott4,5,5.0
676799719,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hilton Grand Vacations at Hilton Hawaiian Village,"May 27, 2019","Lagoon tower was GREAT! Clean, convenient and staff were friendly and very helpful. Rosalinda at the check-in counter was the best. We had trouble with our credit card when we first go there and she was so patient and helpful while we got everything straightened out. All the pictures you see on the website represent the property completely. Beautiful scenery. Breakfast buffet although pricey was very good - so was breakfast at the Tropic Bar & Grill. Pizza at the Round table was good and the ice cream at Lapperts was delicious. With all the guests staying here we never had to wait more than a minute or so for the elevator. Did most of our shopping at the ABC stores (more than 1 on the resort property) and Honolulu surf company. Other stores tended to be on the pricey side. If you're staying at the Lagoon tower and you are setting up tours with transporation pick up tell the tour company youre staying at the Grand Waikkian which is attached to the Lagoon tower and your pick up with be either at the tower or a 2 min walk away. If they pick you up at the hilton hawiian village bus stop its a bit of a walk to get there. Mattress was very comfortable. Would definitely stay here again if given the opportunity.","Pittsfield, Massachusetts",21,5.0
751278162,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hilton Grand Vacations at Hilton Hawaiian Village,"March 17, 2020",Hawaii has a lovely climate and scenery. However this place does not give value for money. Restaurant food and cost of Hotels is grossly overpriced.If you want a beach holiday seriously consider the smaller pacific Islands or the east coast of Australia.We came here full of excitement but do not see us coming back or recommending to our friends,"Gold Coast, Australia",2,3.0
751106667,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hilton Grand Vacations at Hilton Hawaiian Village,"March 16, 2020","If you want the downtown, big city, close quarter beach vibe, this place is for you. The staff was very friendly and helpful, and we enjoyed our stay. The overall campus is huge, and has a little bit of everything. That being said, booking excursions and spa events is best done on site.","Woodbury, Minnesota",4,4.0
749108365,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hilton Grand Vacations at Hilton Hawaiian Village,"March 4, 2020","I have stayed and preferred this place because of its excellent location.However, the most recent Feb 2020, was less satisfactory. The rooms need to be updated .The carpets looks old,the bathrooms needs more modern refurbishing",,0,3.0
749034895,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hilton Grand Vacations at Hilton Hawaiian Village,"March 4, 2020","Fantastic, first class, and over the top everything was perfect. The room was clean and when we asked for more towels they were there in a matter of minutes. Every thing was within walking distance and the beach was beautiful.","San Antonio, Texas",0,5.0
748917986,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hilton Grand Vacations at Hilton Hawaiian Village,"March 3, 2020","If you love to be close to the shops and yummy food, and still have a beautiful view and resort to stay in then this is the place. We stayed in the one bedroom suite partial ocean view and LOVED it!! Most evenings we sat out on the balcony and watched the beautiful ocean, lagoon and a few nights of private luaus on the grass below. The kitchen was stocked with almost everything we needed. It was just my husband and I so we ate out evenings, but it was nice to have things for breakfast and snacks ready. This would be perfect for families to save and cook their meals in the hotels. We were in the lagoon tower by the way. We also commented that the insolation was so good in our room, we never even heard anyone in the hallways.We loved having so many shops to walk around so close to the hotel - the village has a little of everything. We ate at the Blue Shrimp the first night we got in and were surprised at the quality and decent prices! And of course Lapperts was a frequent stop.We just enjoyed everything so much!!Even the last day was so pleasant, we had a late flight out and were able to check our bags in with the bellhop and walk around Waikiki and play on the beach then shower and print our boarding passes in the lounge provided for just that circumstance. We would definitely stay here again!!",,0,5.0
747597916,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hilton Grand Vacations at Hilton Hawaiian Village,"February 25, 2020",I would prefer not to post this but I’ve asked them to clean it two days in a row and showed them pictures and video Gross not discoloration. Nothing was done The water temperature is comfortable and we love the peaceful atmosphere,"Macungie, Pennsylvania",0,3.0
747561644,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hilton Grand Vacations at Hilton Hawaiian Village,"February 25, 2020","We arrived at 3:00 p.m. on a Saturday in the Lagoon Tower. Check in was a breeze, less than 10 minutes. The Bell Desk delivered our luggage immediately. We had a corner room on the 12th floor. The room was well stocked with the exception of a needed blender, which was requested and delivered timely from housekeeping. No kitchen towels were supplied. The room was clean with the exception of the doors which needed a good cleaning. The doors were white and had finger prints and dirt that was extremely visible. I did wipe down the doors as the Corona Virus is spreading and I was concerned with the germs. The Luau and fireworks shows were enjoyed from our balconies, what a nice treat. We had an incredible view of the ocean and saw several Whales from our balcony as well. We attended the Big Game (super bowl) party at the Tapa Bar. The location was good as the kids could remain at the pool and were visible from our seats. . However, the food could have been better and was cold by half time with no heat on the Chaffing Dishes. Lappert's Ice Cream by our Tower was great, although pricey we still enjoyed 4 times. We utilized the National Car Rental onsite 1 day, which was easy to reserve. We had no issues with finding a seat each day by the pool or the beach. We were able to snorkel with the Turtles and many varieties of fish. A short taxi ride to go to Costco for supplies the first day. The Bell Desk helped unload and delivered to our room. Close proximity to everything.","Vacaville, California",58,5.0
745076926,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hilton Grand Vacations at Hilton Hawaiian Village,"February 14, 2020",It is a beautiful resort for kids and we had4 grandkids with us. So much to keep them busy and happy and I could watch the dolphins all day. The only negative was breakfast. The only spot open had a $40 buffet and it wasn't worth it. The kids don't eat that much and it was hard to pay $40 for juice and cereal. The waitstaff was amazing and I wish I could remember her name.,,1,5.0
