review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
751997964,https://www.tripadvisor.com/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ramada Plaza by Wyndham Waikiki,"March 29, 2020",Excellent rooms and good services by hotel. Extremely recommended for everyone to stay in this hotel. Specially room service is very quick and awsome. Staff is very professional and nice.Maria Haider,,0,5.0
751868160,https://www.tripadvisor.com/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ramada Plaza by Wyndham Waikiki,"March 26, 2020","Hotel staff very friendly and allowed to enter room at noon instead of usually 3 pm for most hotels in Hawaii . Room was super clean and quiet . Hotel was in the process of installing a second new elevator which will make the service even faster . The hotel has a very relaxing lobby with flavored water free of charge and free coffee offered in the morning . A public bus stop is right outside , but the Ala Moana shopping center is within walking distance .",,1,4.0
751747116,https://www.tripadvisor.com/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ramada Plaza by Wyndham Waikiki,"March 24, 2020","I highly recommend this hotel for your stay on Oahu. We have been staying at this hotel for over 21 years. It’s clean, comfortable and most importantly the staff has been there for just as long. There’s parking that’s not an outrageous price. Love the staff. Love the hotel. ","Hilo, Hawaii",0,5.0
751514248,https://www.tripadvisor.com/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ramada Plaza by Wyndham Waikiki,"March 20, 2020","We had a four night stay booked with Agoda in Hawaii for April and of course needed to cancel because of the situation around the world .We contacted Agoda and they where awesome and put in a request to the hotel for cancel and refund ..I contacted the hotel by email to let them know of the cancellation , as was told I didn't have a booking with Agoda ? By Kirsten [-] senior hotel reservations clerk .. then She informed me we have a booking with booking.com ? I informed her we have a confirmation and email from Agoda with booking number and sent it to her she still insisted she was right and sent several email back to me with why she was right .. I sent the booking to her again with confirmation number and also Agoda booking number she still wouldn't except that she was wrong ..We travel three times a year at least all over the world and have never had a clerk so argumentative about a booking and how right she was .I will forward all the emails to the GM of the hotel for him to see the type of staff he has as a front line reservations for his hotel .. it was disgusting and abusive and would highly recommend seeking out another hotel until this woman who cant do her job has gone She is a very rude abrupt person that shouldn't be a position"" where as she is dealing with the public .. I would like the GM to look into this and hope that something is done to save the hotels reputation it truly is disgusting and abusive and abrupt and needs to be handled ASAP ... for info I have put photo from the Ramada reservations that says the booking is with Agoda ..see attached","Sydney, Australia",26,1.0
751495190,https://www.tripadvisor.com/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ramada Plaza by Wyndham Waikiki,"March 20, 2020","Stayed here for 4 nights booked by my mother under Wyndham time share. On arrival after a long flight from NY, the front desk staff Bo check us in, we didnt feel welcome, she talked over us when i tried to explain or make something clear with her. She was the same on another ocassion when we tried to give back a letter that we thought was mistakenly give to us (i called the number on the paper left in our room and it was for other guest which promt us to give the letter back) and she kept trying to talk over me and felt like she was annoyed at us. She wasnt accomodating at all so i just let her talk and talk. As guests we shouldnt have to feel that way. However the rooms were clean and spacious and other staff were welcoming and eady ti talk to. It is located close to Ala moana and abit of a walk to waikiki, we hired a car and cost us $23 after joining the membership otherwise $28.The carpets might need abit of cleaning especially the hallways. Otherwise we would stay again. Customer service by Bo could be improved","Sydney, Australia",9,3.0
751411640,https://www.tripadvisor.com/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ramada Plaza by Wyndham Waikiki,"March 19, 2020","Rooms are good,, the employees are great too. Keola at the firont desk was so nice and helped us get a great room with a balcony. Yogi, the concierge was so helpful to in telling us how to get places.We really enjoyed our stay a lot. And would come again if we went on another cruise.","Lombard, Illinois",0,4.0
751081671,https://www.tripadvisor.com/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ramada Plaza by Wyndham Waikiki,"March 16, 2020","We stayed here on a pre-move house hunting trip. We chose it due to location (great), decent price, no resort fee, and that it had a microwave and mini fridge in the room and washer/dryer on the premises. All these things were great, but-This place needs a major cleaning/overhaul. Our window was basically ""open"" due to age/decay. Since we faced the street,our sleep was disrupted every night. Also, while noticing an odd look to the wallpaper, I investigated. Much to my dismay, I discovered a thick layer of dust all over the walls and the drapes. I wonder how many years since these rooms have been cleaned thoroughly? I don't blame the housekeeping staff for the immense amount of dust, but they also did only a cursory job of cleaning our room ( hair in the tub, and no toiletry refills for 2 days).There are also only a few balcony rooms, which we didn't have, and a week in the room at night became claustrophobic.When we return, I'll be looking for a new place. Not what I expected from a Marriott hotel at all.",minneapolis MN,66,2.0
751057871,https://www.tripadvisor.com/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ramada Plaza by Wyndham Waikiki,"March 15, 2020",This is a very comfortable hotel to stay in during your visit to the Waikiki area. The desk personnel are very pleasant and helpful and a pleasure to interact with. The rooms are clean and relatively standard in their amenities. Recommend.,"Sevierville, Tennessee",66,4.0
751011870,https://www.tripadvisor.com/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ramada Plaza by Wyndham Waikiki,"March 15, 2020",The room was clean. Maid service was great. The front desk & bellman were helpful with transportation & answering questions. We stayed a week. The only negatives were the TV channels were different on the guide & the remote. There was a page to refer to that converted them but it was a bit of a pain. There was only one working elevator due to an upgrade but there was only one time that there was a large line,"Madison, Wisconsin",0,5.0
749297765,https://www.tripadvisor.com/Hotel_Review-g60982-d87018-Reviews-Ramada_Plaza_by_Wyndham_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ramada Plaza by Wyndham Waikiki,"March 5, 2020","The Ramada is just a few minutes walk off Waikiki beach it far enough back to not attract crazy prices but close enough to walk to all the fun places. All of our tours had no trouble picking us up from this hotel. And Ala Moana was with 15 minutes walk much appreciated. If you all out all day this is the perfect hotel. Their was a designated smoking area “much appreciated!!” With seats which I found a bit of a rare thing over hear, staff are friendly and rooms are in good condition are very clean ! Traffic noise was not a problem for me as the aircon was loud enough to cover the noise. If I stayed again I get a room with balcony ( city side) as it much nicer view.","Perth, Western Australia, Australia",2,4.0
