review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
752166476,https://www.tripadvisor.com/Hotel_Review-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Sheraton Princess Kaiulani,"April 2, 2020","Alright, so sorry but this one might be pretty long and winded-- but hopefully it's worth it for those of you are looking at where to stay in Waikiki!For starters when we arrived there were some problems with the check in process. This is was not the staffs fault what so ever though! My card was being declined because of the purchase being too great, and there wasn't much I could do because my bank was already closed at this point (I live in SC, it was like Midnight there by the time we arrived for check in). I have major anxiety and after the 15 hour flight day, I was exhausted and an a panic attack was bound to happen at the smallest inconvenience. The staff there was extremely patient with me through my breathing exercises and though I felt like the worst kind of guest to have they never once treated me as such (and I know just how ""fun"" it is to work with a crying customer lol). Once all of that was done and we were finally checked in the room itself was very nice! It was a pretty standard hotel room. Two Queen beds, mini fridge, bathroom ect. But the VIEW was amazing! From our room we would see both the Diamond Head AND Waikiki Beach! Since our clocks were way off we were awake to see the sunrise almost every single day we were there. It was honestly breathtaking. Every day the beds were made, towels replaced, and some goodies left of us on the counter. The house keepers even went as far as to fold some of the cloths we'd left laying around! A bit unusual, but appreciated none the less as I'd never had a place fold our clothes before!We got breakfast vouchers with our room for each morning. The breakfast buffet was a favorite of ours! Each morning we'd go down and be seated with a fresh cup of coffee ready for us. There was just something really nice about sitting in the fresh air with a nice cup of joe to start the day. The buffet had a wide variety of fruits, soups (Yes, SOUP), rice, fish, eggs, bacon, sausage, cereal, juice bar, and even an omelet and waffle OR pancake station. Really it had all the works.The Splash Bar was a good place to relax after our days. The drinks they served were *chefs kiss* (this is internet slang for amazing). The Lava Flow was my go to. It was basically just a sugar slushie with some coconut rum in it but dang it was good. They also served food at the Splash Bar too, my favorite of which was the coconut shrimp. I must have had that shrimp at least 4 times while we were staying there. It was so tasty it stopped me from wanting to to other restaurants!Our check out was at 10am but we weren't going to be picked up to leave the island until around 3pm. The front desk let us check our bags for free so we didn't have to carry them around. Since we didn't have our bags we were able to roam the shopping centers and beach for a while longer before saying goodbye. Would definitely recommend this hotel to anyone coming to the island for the first time.","Summerville, South Carolina",1,4.0
751630431,https://www.tripadvisor.com/Hotel_Review-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Sheraton Princess Kaiulani,"March 22, 2020",We have just spent 6 nights here in a standard room. We were offered to change to balcony room when we arrived but as it cost a lot more we decided to stay as is. Glad that we did. Our room was a reasonable size overlooking car parking but nice and quiet. Bed very comfortable with good linens and soft pillows. Looks to have been updated in last few years. All neat and tidy. Did not look worn at all. Great location. 5 minutes walk to Cheesecake Factory. Beach 2 minutes walk. Parking not cheap $35Usd per night. Be aware that there is an extra amenities charge even if you don’t use them.$33USD per room per day. ,"Caloundra, Australia",160,4.0
750147546,https://www.tripadvisor.com/Hotel_Review-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Sheraton Princess Kaiulani,"March 9, 2020","We love this Sheraton,while not maybe the most glamorous it has a ton of charm. The original part of the building was built in 1955 and it as charming now as it ever was, we love the open area at the check in and nice old-school funky pool area ,great service from the splash bar All ways nice Hawaiian music playing throughout the public spacesService from everyone was goodHigher floors for great views are very niceThe location is perfect for being in the midst of WaikikiThe Moana Surfrider across the street is handy dandyLots of shops and restaurants within minutes walkVery convenient and good valueComfortable beds and robesRooms on the smaller sideLook forward to another stay soon","Comox Valley, Canada",226,5.0
749755570,https://www.tripadvisor.com/Hotel_Review-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Sheraton Princess Kaiulani,"March 7, 2020","The Sheraton PK is a good value for money hotel option in central Waikiki. Not on the beach, but easy stroll across the street to Waikiki Beach, Kuhio Beach (the same stretch of beach) or Fort Derussy Beach Park (personal favorite). It's not flashy, it's pretty standard Sheraton, but that's all you really need. It's comfortable, clean, very Hawaiian in decor of the open-air reception and public areas, friendly reception staff. Bathrooms are on the smaller side, but do the job. They have proper dresser drawers, which I like, as it's a pet peeve when some of the modern properties don't have enough proper storage space. Pool is nothing special, but I don't hang at the pool when in Waikiki (unless it's the amazing infinity pool at the Sheraton Waikiki!). Room types on the website are pretty clear about which room types have the best views. If in the Tower Ocean King (as I'm in now), request an odd number room, as you can just lazily lay in bed and watch the ocean...it is vacation, after all. That said, I've stayed many times at this property, and even a partial ocean is good.For a hotel not specifically on the beach, and having stayed at so many Waikiki properties over the years, I definitely have no issue recommending the property.","Los Angeles, California",21,4.0
749755223,https://www.tripadvisor.com/Hotel_Review-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Sheraton Princess Kaiulani,"March 7, 2020","I spent the last week of January at the ""PK"" as it is commonly known. It was my 5th or 6th stay there and it was excellent as always. Perhaps due to my Marriott Bonvoy silver elite status, even though silver is not a high tier, I was upgraded to a ""Premier Oceanview King"" room in the Ainahau Tower, which had been renovated and had a great lanai with an absolutely stunning view of the ocean. You could sit on the lanai and watch surfers, catamarans and outrigger canoes all day. I find the service at the Princess Kailuani is always exemplary. From the General Manager to the front desk to the room attendants and breakfast buffet staff, they are all hospitality professionals, many of who have worked there for decades, and they provide a friendly and welcoming environment and courteous service. The hotel has a lot of history and has a nice Hawaiian vibe. I know some reviews are not great because of the age of the hotel, and I think the hotel acknowledges that it can be a challenge to keep everything up to standards when they are anticipating closing the hotel in a couple of years for a full makeover.... but they certainly try. Other notes: -The gym is decent and well used and has a nice outlook over the pool.-You get 15% off food bills with Bonvoy membership (any level)Overall, Hawaii hotels are expensive and I find this one to be great value. It's right in the heart of Waikiki and although it's not on the beach, on average you save at least $100US per night compared to even the least expensive beachfront hotel. And the pool desk will lend you beach chairs as well as towels for when you head across to the beach, and they bring bottled water to a designated spot on the beach three times a day. I would recommend the place for sure.",,1,5.0
749299643,https://www.tripadvisor.com/Hotel_Review-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Sheraton Princess Kaiulani,"March 5, 2020","I loved my stay at this property. So close to everything. There is an ABC store across the road. You can also take a shortcut to the Main Street where all the shops are. Walking distance to most things including the beach, which is very close. Our room was clean and comfortable. We had great ocean views from our balcony. We were also lucky to have never ending happy hour at the ‘Splash Bar’ which is part of this hotel. Staff were friendly and helpful. I would definitely return to this hotel. ","Hervey Bay, Australia",51,5.0
748934525,https://www.tripadvisor.com/Hotel_Review-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Sheraton Princess Kaiulani,"March 3, 2020","We stayed 8 nights at SPK and you cannot fault the location, it is central to shopping, the beach, restaurants and transport options. We were on the 15th Floor with a balcony and ocean view. The rooms are a little tired looking but for the amount of time we spent in the room, it was fine. Because we stayed 8 nights, a complimentary plate of fruit, snacks and drinks was in our room. There was no note it was complimentary but we confirmed it was complimentary when we asked staff. We also had to ask staff for the daily activities available, there was no info on this in the room. We are used to staying in a hotel room that supplies body wash (only had soap), ceramic cups (only had takeaway paper cups), spoons (only had plastic straw stirrers), wine glasses and bottle opener. These little extras make life easier when staying in a hotel. The staff were polite and helpful. I feel communication could be improved either when checking in or in the room to explain the activities/amenities available (no info in room), as well as how the resort charge is applied to your credit card (new charge every day for a different amount). This would have meant us spending less time checking with staff. Overall we enjoyed our stay at SPK.","Robina, Australia",1,4.0
747989030,https://www.tripadvisor.com/Hotel_Review-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Sheraton Princess Kaiulani,"February 27, 2020",I've stayed at this hotel multiple times. It's in a GREAT location and everyone is very friendly. The rooms and property are well maintained. The food and drinks at the Splash Bar are really good and I enjoy the evening entertainment.,,2,4.0
747664348,https://www.tripadvisor.com/Hotel_Review-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Sheraton Princess Kaiulani,"February 25, 2020","Whilst we were happy with our stay, location and room, the breakfast room is unhealthy. Pigeons constantly flying in, sitting on tables , chairs and serving areas. These disease carrying birds often ate food from plates, while quests were attempting to eat their food. We witnessed some quests walking out without finishing their meal and others who were visibly frightened.","Adelaide, Australia",22,3.0
745261714,https://www.tripadvisor.com/Hotel_Review-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Sheraton Princess Kaiulani,"February 15, 2020",Spent 9 Nights Very Good Rooms Excellent Service Great Location The Splash Bar Had Not Only Good Food But Also Very Good Drink Prices And The Wait Staff Were Absolutely Fantastic The Gym Was Also Very Well Appointed Highly Recommend,"Mackay, Australia",4,5.0
