review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
745596551,https://www.tripadvisor.com/Hotel_Review-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ilima Hotel,"February 16, 2020","10th floor suite smoking room. Clean room, pool, hotel and courteous service. No frills such as room service, restaurant, bar, snack/convenience store, but the room has everything you need. Walking distance from beach, shopping and night life. If you’re wanting to explore and experience Oahu versus a hotel, this is the place to stay.","Minneapolis, Minnesota",0,5.0
700991321,https://www.tripadvisor.com/Hotel_Review-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ilima Hotel,"August 20, 2019","This place is fabulous. It's 6 minutes from the beach, and steps away from the heart of Waikiki. Our room was spacious with a balcony overlooking Waikiki and the Pacific. There is free parking and, best of all, this is about the friendliest and most helpful hotel staff I've seen anywhere. And the price is very reasonable. Other hotels charge a ""facilities fee"" and up to $50 a day for parking--money better spent on a nice meal or some fun activity. This place is low-key and not very showy, but delivers where it counts--in value and service.",Pasadena,11,5.0
743301600,https://www.tripadvisor.com/Hotel_Review-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ilima Hotel,"February 5, 2020","We recently stayed at Ilima Hotel for eight nights. It was perfect match for us. It is not a fancy new hotel , however, price is very reasonable, location is great, five minutes walk to Duke Waikiki and all the shops, room is clean and well maintained, full kitchen, and free parking! I think it’s one of few if any hotels in that area which offers free parking . It works on first come first serve basis, however we never had a problem to find a spot. We enjoyed pool and sauna after long day around the island. Hotel personnel was very nice and friendly. We had cleaning service daily, and they did a good job, although we are not that messy. The only thing, that we were not able to get , is a higher floor with better view. But it was’t available for studio room that we booked. Not a big deal anyway, we spend mostly of the time out.I would definitely recommend it !","Los Angeles, California",1,5.0
738933430,https://www.tripadvisor.com/Hotel_Review-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ilima Hotel,"January 13, 2020","Two blocks off the strip, next to the canal. More quiet than the beach or on Kuhio. Traffic in Waikiki is quite loudSome find the rooms tacky, or outdated or funky. We loved it. $120 per night in Waikiki for a really large room ith full kitchen (fridge, stove, sink, dished, cutlery. A great view up into the mountains overlooking the canal. Small pool and private parking. Best of all the staff. Without going into the long story, Jay, the asst mgr. is THE BEST","Green Cove Springs, Florida",65,4.0
728790265,https://www.tripadvisor.com/Hotel_Review-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Ilima Hotel,"November 25, 2019","We chose this hotel because it was one of the very few hotels with free parking. Parking is first come first served and could possibly be very busy at peak times - although we had no problem and managed a space each day.Only 10 minute walk from shops, restaurants and beach.Our studio was spacious, comfortable with a fully fitted kitchen and a balcony.very friendly welcoming staff. Excellent value for money - although we think we got the best value by booking directly online with the hotel. Even the response to the booking was very friendly and welcoming - a good start!Would definitely return to the Ilima.","Ayr, United Kingdom",62,5.0
728648537,https://www.tripadvisor.com/Hotel_Review-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ilima Hotel,"November 24, 2019","Don't be put off by the fact that this is an older hotel. It's got so many advantages. It's off the beaten path - but only one block off the main drag - so it's quiet, but provides access to everything.The room is spacious, and has a full-size bathtub and a full kitchen.When I say kitchen, I mean everything. Full size refrigerator, microwave oven, coffee machine, stove, toaster, dishes, utensils, pots and pans, and even a dish-drainer, sponge, kitchen towels, and dishwashing detergent.There is a laundry room with several sets of washers and dryers only $3.50 each). The front desk can provide quarters, laundry detergent for $1 - and free hangers. Just ask. The folks at the hotel are welcoming and helpful. They have activities, like how to make your own kukui nut lei, and other cozy activities. There is a pool, a gym, and how many hotels actually provide FREE parking to the guests.There is no restaurant - so no room service.But you can get food and/or grocery delivery (just like at home) from DoorDash or GrubHub, or...)In fact, we did order and the delivery man brought the food to our door.We made the mistake of moving to the Outrigger Beach Resort, wanting to be on the beach and to have a restaurant in-house with room service.It was TOTALLY not worth the extra cost. In fact, the room service was sub-par. From the Illima, you are 2-3 blocks from the beach, one block from some really good restaurants, and one block from inexpensive city buses. The price is terrific. ","Los Angeles, California",14,5.0
725995700,https://www.tripadvisor.com/Hotel_Review-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ilima Hotel,"November 12, 2019","Ilima Hotel has the friendliest staff! The room was spacious and clean. Beds were comfortable. Water pressure was good with lots of hot water. The hotel offers free ukulele lessons on Fridays along with singing by the staff in lobby and on Wednesdays there is a free Lei making class. We were not able to do the ukulele lessons but enjoyed the Ilima Ohana Chorus singing in the lobby and LOVED the Lei making class. The hotel is within walking distance to the beach, restaurants and shopping, Jump on the city bus, trolley or uber to get locations all over the island. There is a car rental place directly across the street from the hotel. If I return to Oahu I will absolutely stay here again! ",,3,5.0
720296537,https://www.tripadvisor.com/Hotel_Review-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ilima Hotel,"October 21, 2019","We stayed for 7 nights at the Ilima. The staff were very helpful and friendly. The location is walking distance to the many shops and beach of Waikiki. Parking is free at the on site garage. The room was clean, and the beds seemed new and were comfortable. We loved our stay and look forward to our next stay at the Ilima!",,0,5.0
716204143,https://www.tripadvisor.com/Hotel_Review-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ilima Hotel,"October 7, 2019","We loved our two night stay at the Ilima Hotel. Our spacious room had two double beds and a full kitchen. Our seventh floor balcony had lovely views of the Ala wai canal and beyond. The room was clean, beds were comfortable, and the staff was the best. Free parking was a bonus! I would definitely stay here again.","Sacramento, California",49,5.0
715778713,https://www.tripadvisor.com/Hotel_Review-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Ilima Hotel,"October 6, 2019",Customer service was great. They were so polite and answered any questions I had. The kitchenette is well supplied. Thank You for everything! It is rediculous to force more waord than necessary. Blah blah,,0,4.0
