review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
751960476,https://www.tripadvisor.com/Hotel_Review-g60982-d79500-Reviews-Best_Western_The_Plaza_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Best Western The Plaza Hotel,"March 28, 2020","Originally I picked this hotel as it was near the airport, with free shuttle service and I wanted a quick place to rest after a long Trans-Pacific flight. I'm so impressed, though I'd stay here again even if I was spending a few days in Honolulu. The staff are fantastic--friendly and very helpful. The rooms are clean and comfortable--nothing fancy, but the price is 1/2 that of a Waikiki hotel. If you just use a hotel to sleep, this will do the trick! Best of all for the budget-minded, The Bus stops right outside the hotel and $5.50 gets you an all-day pass. It's about an hour to central Waikiki, and even shorter the other way to Pearl Harbor. On the downside, not a lot of restaurants nearby you can walk to at night. I didn't expect a lot out of this hotel, but was very pleasantly surprised.","Phoenix, Arizona",23,4.0
736861148,https://www.tripadvisor.com/Hotel_Review-g60982-d79500-Reviews-Best_Western_The_Plaza_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Best Western The Plaza Hotel,"January 4, 2020","This is a great hotel. It's away from Waikiki traffic and close to the airport. Yes, its close to the freeway so you can hear traffic. What we do to counter the noise is carry our noise makers (got them from amazon for under $50 and they fit in your luggage or backpack). I recommend reserving a bigger room if traveling with several pieces of luggage (we lave lots of luggage because we are usually there on business). If you travel light, the smaller room may suffice. Parking garage is like all other garages, tight. It costs $30/night but cost us $15/night because we are Gold Crown Members. Breakfast is included, usually count on scrambled eggs, oatmeal, rice, mini pancakes, fruit, etc. They alternate between Portuguese sausage and sausage links, with bacon once a week. Also, if you go early, you can usually get right in. If you go with tourists, you may have to wait for a table. But its not usually a long wait. The bed slept good. TV can suck because the signal breaks up on some channels (but most people don't even use the TV while there). Housekeeping is extremely polite and friendly and cater to whatever you may need. Mercy took care of us most of the time (we were in room #805) and she is the BEST!!! The only down fall to our last visit was on our last day. We waited thru 6 elevators before we could get on along with a cart full of luggage. Evidently, as it gets closer to the New Year, it gets more and more crowded. But its all good - we got out without too much delay. We will definitely be staying here again.","Lewisburg, Tennessee",55,5.0
751805209,https://www.tripadvisor.com/Hotel_Review-g60982-d79500-Reviews-Best_Western_The_Plaza_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Best Western The Plaza Hotel,"March 25, 2020","When I checked out of my room, I left my Kindle e-reader behind, by mistake. The housekeeping staff turned it in promptly. Originally I had planned to pick it up 3 weeks later when I returned to Honolulu, and they agreed to keep it safe until my return. Because of coronavirus, my plans changed, and I did not stop over in Honolulu. I called the housekeeping manager to explain the change in plans, and she worked with me to send it back safely to me at my home in California. Everyone was very friendly and professional. I'm sure you can imagine how differently this could have turned out. I'm very grateful to the hotel staff and would definitely stay here again.",,0,5.0
749977541,https://www.tripadvisor.com/Hotel_Review-g60982-d79500-Reviews-Best_Western_The_Plaza_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Best Western The Plaza Hotel,"March 8, 2020","Honestly, I was not expecting much but the hotel seems to have gotten a nice renovation and the rooms look brand new. While it is still a Best Western, the room looks refreshing and I love the bed. There are both a mini fridge and microwave inside the room. The WIFI (free for Best Western members) also works very well. However, the window remains extremely dirty and they need replacement. I also want to remark on the shuttle service, which was quite good. I was picked up quickly from the airport (although the airport should have better signs), and on my return, they have a shuttle to the airport every thirty minutes twenty four hours a day. I still think they ought to have a better airport hotel in Honolulu but will have no issue coming back to this Best Western in the future if I have a short layover.",Los Angeles,209,4.0
749895049,https://www.tripadvisor.com/Hotel_Review-g60982-d79500-Reviews-Best_Western_The_Plaza_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Best Western The Plaza Hotel,"March 8, 2020","Clean and convenient place if you need to be near HNL Airport or Kaiser Permanente. Very quiet. Nice store in the front lobby if you need snacks, toiletries and beverages. Clean room, not cramped for space. A bit expensive to me, but you pay for convenient access to airport I guess. ",,0,4.0
749773241,https://www.tripadvisor.com/Hotel_Review-g60982-d79500-Reviews-Best_Western_The_Plaza_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Best Western The Plaza Hotel,"March 7, 2020","We have stayed at the Best Western Plaza Hotel twice now, wanting to be near the airport for a morning flight out. The hotel is clean, the rooms are very nice, comfortable beds, and a good breakfast in the morning with a good selection of foods. Staying at the Plaza Hotel enabled me to turn in my rental car the evening before my flight, catch a shuttle back to the hotel, get a good nights sleep, and then good breakfast, before catching another shuttle to the airport for my flight. It beats trying to fight Honolulu traffic early in the morning. The staff at the hotel were all very friendly and accommodating.","Estes Park, Colorado",156,4.0
749540913,https://www.tripadvisor.com/Hotel_Review-g60982-d79500-Reviews-Best_Western_The_Plaza_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Best Western The Plaza Hotel,"March 6, 2020","Kind staff, clean room, free transport to and from airport. BUT, this motel is located in an industrial type area with freeways right beside it. Horrible location. Loud noise from freeways. Nothing nearby for good food and just concrete and buildings and parking yards for surroundings. Really horrible if you expect more than just going to sleep. It’s Hawaii, right? I would not stay here again. Better to pay for a taxi to someplace nice with plants and tropical feel. If you only need a quick airport crash pad, it is suitable, clean, nice staff.",Monterey County,24,2.0
748900843,https://www.tripadvisor.com/Hotel_Review-g60982-d79500-Reviews-Best_Western_The_Plaza_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Best Western The Plaza Hotel,"March 3, 2020","We spent the night here while stopping en route to Australia. It is everything that they advertise here on Trip Advisor. It is nice and close to the airport. The shuttle picked us up about 15 minutes after we called the hotel. There was a good and hot breakfast buffet with real scrambled eggs, fruit, pastry choices, etc. We used regular dinner plates, coffee cups, and metal eating utensils, not plastic, foam, and paper. Although it’s close to the airport, we never really heard airplanes. Ask for a room as far away from the freeway as possible. It is a very busy road. The pool was not in operation, but they offer to take you to their sister property so you can use the pool there. We stayed here before (in July, 2018) and we will probably stay here again. ",North Carolina,323,4.0
748018566,https://www.tripadvisor.com/Hotel_Review-g60982-d79500-Reviews-Best_Western_The_Plaza_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Best Western The Plaza Hotel,"February 27, 2020","Our family had an early morning flight and wanted a place near the airport. We thought with a free breakfast and shuttle to the airport this hotel would be a good choice. But unfortunately there were several problems. First, there was no place to park the minivan while we unloaded passengers and luggage, there was only one slot for a compact car. Once inside there was confusion at the desk about the booking being prepaid through a third party service. After that was cleared up, I was given a room key and went to the room. When I unlocked and opened the door, there was a man lying there on the bed. He gave me a surprised look and I apologized and quickly closed the door. The front desk clerk apologized and gave me a different room, but there was no mention of discounting the room or any other accommodation by way of apology. We could not take advantage of the free breakfast because we had to leave at 6:00 a.m., and breakfast wasn't available until 6:30. I would never go back there.",,0,1.0
746128849,https://www.tripadvisor.com/Hotel_Review-g60982-d79500-Reviews-Best_Western_The_Plaza_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Best Western The Plaza Hotel,"February 19, 2020","For the price, you'd expect it to be closer to other top brand name hotels and because other hotels are higher priced, most families pick this one. But honestly for $35 more, you get a better hotel, more spacious, more amenities and less dirtier. And don't have to worry about the highway or airport noise that they don't tell you about, just that they are conveniently located, that means were nosier. I would suggest anyone deciding to stay here really look, price other hotels, we had a 7 night stay and checked out after 2 days to go to a different hotel. Not worried about the convenience of being located to an airport if that airport keeps me up at night. Lobby staff was nice, but the room was small, you cannot close the bathroom door without stepping all the way in. Just not spacious and roomy enough for us.",,0,1.0
