review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
753122470,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Embassy Suites By Hilton - Waikiki Beach Walk,"May 3, 2020","First off...staff extremely friendly and very helpful.However, the online videos DO NOT portray an accurate condition of the rooms. I stayed in two bedroom suite...and upon arrival, room was very worn and in need of updating. Our room was also dirty. So much so, I immediately went to front desk and voiced concern. I provided photos and front desk sent someone up to clean!. Was terribly dust ridden, for $500 a night I expected far better. Once cleaned, things went much better... but room condition not on par with other Embassy Suites. The two best features were the breakfast/pool area and overall location. Breakfast a wonderful experience for family of 5. Pretty much same thing every day but well worth it and good variety. Staff at breakfast wonderful! Every evening also had drinks and snacks...all this included as part of staying with Embassy. Location of hotel adjacent to and connected to Beach Walk on one side, however opposing side of hotel nearly abandoned and run down. Location to Beach just short walk away... maybe one block or so straight ahead on path. Car rental available next door and could return after hours at Embassy for small fee.I would stay again, but not my first choice and currently does not warrant as high a rating as is shown. With remodel...no hesitation... would highly recommend! For comparison, I checked out Trump hotel next door... night and day (Trump elegant and absolutely beautiful), however Trump similar room $1500 per night and no breakfast included, plus very small pool.When I return, I wy check out Embassy again, but if not remodeled... would pass.",Mt Zion IL,26,3.0
752042745,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Embassy Suites By Hilton - Waikiki Beach Walk,"March 30, 2020","We stayed here in October 2020 and we were not impressed. Really had a lot of difficulties with the overall appearance of the hotel being worn and dated and a little less than clean. Yes, we understand it is a high volume hotel and location and yes, we understand that is clearly caters to families, but, with that being said, that isn't an excuse for less than stellar front desk personnel and the overall feel of the property.It is in desperate need of an update, some cheerier paint and a wee bit of attitude adjustment in some of the front desk staffing.As a loyal Diamond, we did receive a lovely room upgrade, no complaints there, however with the quick turnaround, the room was just not satisfactorily clean. At all. Grimy would fit the bill and so would dusty.The location is great, a very short walk to so many things and that is an absolute plus.Would we stay here again? For the price...maybe??? If you're traveling w/ family, then I think you'll find this place acceptable and will met your needs.","Bradenton, Florida",257,3.0
751631260,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Embassy Suites By Hilton - Waikiki Beach Walk,"March 22, 2020","We were beyond impressed with our stay at the Embassy Suites in Waikiki! First, they had a welcome drink for us when we checked in. Second, we were upgraded to an ocean view room...I think because we have gold status. (I booked the room through Costco Travel.)Third, happy hour was amazing! They had an entire menu of drinks that they served for free every night. Nice Hawaiian drinks too.Fourth, the full breakfast! This not only saved us money, but it’s was a legit full and fresh breakfast. They had two lines, so there’s was never a wait. Fifth, the location! I don’t think I’ll stay anywhere else after staying here and seeing just how central it is to the beach, restaurants, and shopping. Overall, between the amazing customer service, the kind house keepers, and everything listed above, I will return. I will recommend this hotel to there too. I don’t think you can go wring by staying here.  ","Ogden, Utah",12,5.0
751582172,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Embassy Suites By Hilton - Waikiki Beach Walk,"March 21, 2020","We stayed at the Embassy Suites in Waikiki March 2020. The hotel is amazing. Beautiful, clean, spacious rooms. And having free breakfast (which is awesome) every morning was a huge plus. And if that wasn’t enough...from 5:30-7:30 every evening, complimentary snacks and drinks were provided. How awesome is that!But what truly set this hotel apart from anyone else, was their staff. Never have we stayed at a hotel with such friendly staff. Words cannot describe how amazing the staff was, especially Cary (at morning breakfast) and Keala and Keola (at the complimentary evening reception). They truly went above and beyond. These 3 made our vacation beyond amazing and they are the sole reason we will always stay at this hotel when visiting Oahu. They all made us feel like we were at home. If you stay here, look for them! Their helpful and warm personalities will win you over in 2 seconds flat.",Garden Grove,0,5.0
751332008,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Embassy Suites By Hilton - Waikiki Beach Walk,"March 18, 2020","Absolutely love this place. Our second time here, and Arriving just after all the coronavirus hysteria surfaced… The governor just announced Hawaii is closing to tourism, and we are so grateful that we made it here in time","Grand Haven, Michigan",145,5.0
751258123,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Embassy Suites By Hilton - Waikiki Beach Walk,"March 17, 2020","My family (myself, my husband, 3 year old, and 5 month old) stayed at this hotel in the middle of February for 10 days. My parents and 2 adult brothers also stayed at the hotel for 7 days. We all agreed that it was the perfect location, walking distance to everything you need! The hotel staff were friendly, and made sure that we were taken care of. The hotel room was always clean, and housekeeping always made sure we had enough towels. We were often in the room at different times during the days so our boys could nap, but housekeeping was extremely considerate and would ask us for the best time to clean our room. Our room was a king room in the Aloha Tower. It was perfect for two adults and two young children. You can hear the elevator throughout the night, but it did not bother me. Some days the elevators were busy and it was difficult to get up or down depending on the time of day. Breakfast was unreal! I was so impressed, never bored of the options. The omelettes were great! Evening reception was good, some people enjoyed the free drinks more than others! The entertainment was amazing!The pool was never crowded even though the hotel was full most of the nights we stayed. Our 3 year old loved the kiddy pool and always found a friend or two to play with!We were unable to use our balcony during our entire stay due to construction. We spoke to the hotel staff and they gave us a choice of late checkout or a free night. We were very thankful and chose to have a free night. Overall, this hotel is amazing for families! The hotel rooms are spacious and allow for parents to stay up while the children sleep! I would stay again!",Canada,0,5.0
751254399,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Embassy Suites By Hilton - Waikiki Beach Walk,"March 17, 2020","Marriott Embassy Suites Beachwalk is by far the best full value accommodations. I travel to Oahu on business frequently and have stayed at other hotels. Hands down this hotel is my favorite. It’s centrally located, has morning Buffett and afternoon managers reception. The rooms are always very clean and the entire staff treats you like family. They really make you feel like Ohana.","Brentwood, California",0,5.0
750350171,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Embassy Suites By Hilton - Waikiki Beach Walk,"March 10, 2020","This hotel exceeded my every expectation. I've stayed at many embassy suites all over and have sometimes been disappointed, but Beach Walk Location is amazing. The staff could not be any better. Professional, friendly, a0nd helpful.We had 2 adults and 4 kids we shared the 3 room suite. Having 2 bathrooms made everything so much easier. Our room was in the Hula tower. The beds were so comfortable and clean. Every elevator, common area had hand sanitizing stations. The staff was constantly cleaning and maintaining the grounds. ","Rocklin, California",2,5.0
750087395,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Embassy Suites By Hilton - Waikiki Beach Walk,"March 9, 2020",We enjoyed our stay at Embassy Suites. Most evenings there was entertainment during the evening reception. The band that was there was very good and made the evening fun. The breakfast selection was varied and tasty. The location is close to the beach and convenient for pick up by tour buses and shuttles. I would recommend Embassy Suites.,,0,4.0
749873875,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Embassy Suites By Hilton - Waikiki Beach Walk,"March 8, 2020",The hotel is conveniently located near shops and restaurants. Royal Hawaiian Center is just about a block away and International Marketplace is just few blocks away. The beach is just block away. Valet parking staffs are really nice and friendly. The breakfast food is very good and many variety but there is this one day that many plates are still dirty and not washed properly. It was pretty disgusting with still some left over food in it and still very oily in the bottom.,"Lathrop, California",0,4.0
