review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
753448678,https://www.tripadvisor.com/Hotel_Review-g60982-d596760-Reviews-Hotel_Renew-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hotel Renew,"May 11, 2020","Beautiful hotel, great view of Waikiki, great location beach is across the street. Make sure everything works in your room, even batteries in the remote, they can't change it at front desk, maintenance has to come change it out. All in all great experience. ","Honolulu, Hawaii",0,5.0
752934208,https://www.tripadvisor.com/Hotel_Review-g60982-d596760-Reviews-Hotel_Renew-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hotel Renew,"April 26, 2020","Suffering from quarantine claustrophobia, my friend and I just wanted to get out, and we were fortunate enough to stumble upon this hidden gem of a boutique hotel in the heart of Waikiki. I called for rates, answered by Adrian Perez, hotel GM, but by the humble, courteous way he took my reservation I would never have guessed his position. We were graciously allowed an early check in, and upon entering the lobby, I immediately noticed the immaculate cleanliness as well as the stylish interior designs. The room furnishings were the same, everything being well-made, and in a sleek contemporary style. I was blown away by how white-glove clean the entire hotel was, and I felt protected by the crisp, sanitary air conditioning. Robes were hanging in our closet. The pool is beautiful, but will remain closed through the Coronavirus stay-home orders. The bed was perfect - heavy, firm, cool, and covered by quality high-thread linens. The few staff who we encountered were all full of Aloha Spirit and old-school hospitality. I thanked GM Adrian for the hotel experience, and it was really hard to do this review, because I wouldn't have minded keeping this gem hidden and nestled out of view.",,3,5.0
751042193,https://www.tripadvisor.com/Hotel_Review-g60982-d596760-Reviews-Hotel_Renew-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hotel Renew,"March 15, 2020","Booked this hotel via hotwire because it offered a reasonable price for a clean, close to the beach Waikiki hotel. We were in town for a Dr. appt. for my pregnancy and didn't have the extra funds to book a fancy resort, but this felt like one! The staff were extremely friendly and accommodating. They offer some fun, free ""wellness perks"" that are included as part of your resort free. I always pay the fee anyway, so it was nice to see something come of it. I had my Chinese New Year astrology reading, and a wellness beverage. It was fun and relaxing. The best part is the location to the beach. My 2-year old daughter could walk there without being carried, and the hotel provided free beach towels, beach toys, beach floaties, and beach chairs! Our daughter was in heaven :) Good restaurants nearby including Denny's and Wolfgang Puck to go (breakfast waffle highly recommended) and mac n' cheese for the little one. It's also right next to ABC store (practically located in their lobby). Only advice I would give is to just pay the extra $35 for parking. Otherwise it's $6/2-hours on the street and you end up paying most of the $35 anyway. We didn't pay it the last day and just parked at the zoo which was $3/2-hours but we weren't parking overnight so it made more sense. Loved the layout, cleanliness and comfort of the rooms. Have a great time! Thanks to Stephanie for the wellness perks!",,0,4.0
750683126,https://www.tripadvisor.com/Hotel_Review-g60982-d596760-Reviews-Hotel_Renew-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hotel Renew,"March 12, 2020","I stayed here for both work and leisure (work trip that i extended out a weekend early to relax and enjoy the surroundings) in early March and was very impressed with everything about the hotel. It's less than a block away from the beach, and walking distance to so many restaurants, cafes, shops, etc. My room was clean and had a nice view of the ocean, from only the 5th floor. My housekeeper was great too - i was taking two showers a day on this trip and she left me extra towels and shampoo so I wouldn't run out! Of course not everything went perfectly smoothly: on the first morning the coffee bar attendant I guess was out sick so I mentioned to the front desk that I 'really' needed my morning coffee and they set up a self service coffee station in the lobby to accommodate us caffeine fiends. Great service on that front! I don't drink but they also had a decent group of folks partaking at the bar in the afternoons, which looked fun.As for the local area, I didn't venture too far from the hotel - had a dinner at momosan (a noodle & izakaya bar) one night which was amazing, also ventured over to the international market place and ate at paia fishmarket which was also really good - definitely better than I anticipated! Of course there are a ton of other options too which drew a lot of the tourists.finally I really enjoyed running around the local area for my daily workouts - if you go right out of the hotel up to the canal then west til you have to cross a bridge but instead head down back towards the beach and run back along the beachfront back to the hotel, that was about a 3.5 mile loop which was perfect for me. Also had plenty of opportunities to stop and snap some ig-worthy pics along the beach.overall it was a fantastic hotel with great service in a prime location. Definitely recommend and would return.","Santa Rosa, California",7,5.0
750362818,https://www.tripadvisor.com/Hotel_Review-g60982-d596760-Reviews-Hotel_Renew-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Hotel Renew,"March 10, 2020","Great staff, clean rooms, cute bar(tender). Centralized location makes it easy to get to places. Good food around the way and nice pool. Looking forward to checking out more places and recommending this to friends",,0,5.0
748410954,https://www.tripadvisor.com/Hotel_Review-g60982-d596760-Reviews-Hotel_Renew-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hotel Renew,"February 29, 2020","OVERALL: Walked into a beautiful lobby with friendly welcoming front desk clerk who offered a refreshing cold herbal tea beverage and cold hand towel. It was the calming environment I expected based on the reviews. The hotel has great midcentury ambiance and is nicely appointed for its boutique category. I would definitely stay there again.LOCATION: On the East end of Waikiki next to the zoo, the hotel is one block from the beach and 2 blocks from the park where there is ample space for yoga and running trails with a view of Diamond Head. Unfortunately it is requires navigating through various homeless camps, which can be uncomfortable for those not used to panhandling. The hotel also is on an alley that tends to be noisy, even at midnight so the earplugs I always pack were quite handy. Easy to walk to many restaurants and shops on the main streets.AMENTIES: I didn't make use of them as I was out at a conference all day, but there was a $25/day charge for beach towels (in very good condition and smelled clean), free yoga mat (and other exercise equipment) to borrow, as well as nearby yoga class, onsite tarot/horoscope readings and mini facials. Downstairs cafe had yummy looking snacks/food and beverages that appeared to be high quality. They will provide a disposable hot beverage cup with hot water if requested. Also is a water refill station that is extremely useful! Keep in mind there is no pool here or hot tub.ROOM: The decor was described, but more worn down than expected. The window shades were off track, which made opening and closing daily a bit of a pain. The thermostat/AC cover had broken rails, which decreased the overall ambiance. Lighting was sufficient, but the switches did not make sense. There are robes, no slippers, a safe, mini refrigerator, and seating for 1. Towels were clean and fluffy, and toiletries were excellent. The bathroom window did not shut completely, which allowed my hand washed items (quick dry work out clothes) to dry easily, but also gave a draft which was a bit chilly in Feb, and I imagine hot in the summer. Bed pillows were plentiful, but sheets had a very faint sour smell that perhaps most people would not notice (I unfortunately have super senses; not bad enough to request new ones).","San Francisco, California",18,4.0
745941269,https://www.tripadvisor.com/Hotel_Review-g60982-d596760-Reviews-Hotel_Renew-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hotel Renew,"February 18, 2020","First of all it is supposedly a wellness based hotel. I don’t see any reviews about the wellness side of this little gem. I am all into health and wellness but I would only consider it partly about your wellness. Yes there are exercise equipment available to bring into your room but there is not much room to move around. There is no gym, pool, or spa BUT There is a $15 day pass to another hotel’s gym when we are already paying the $25 daily resort fee. We shouldn’t have to PAY to go somewhere out of our way to work out comfortably. Not a good way to make up for something that you don’t have, I might as well should’ve stayed at that hotel where it may have been included in the resort fee. The staff is very friendly, cleanliness was good overall. Being that this is a wellness boutique hotel I found it interesting that there was a wellness concierge. I think her name was Tiffany. She sits near the elevator in a corner, very friendly and was very helpful with all of our questions and always smiling. Only thing I thought that was unusual is that as a concierge at a HOTEL there should be a desk? The wellness concierge is in a dark corner near the elevator in case you miss it. You won’t know that its a concierge until she comes up to you to greet you and let you know who they are, which was nice of her to do because I wouldn’t have known ONLY because...Nothing against the concierge but just the whole “Wellness concierge” at a “Wellness hotel” the set up looked very tacky being that she only had a table and 2 chairs. To be honest it looks kind of sad being it doesn’t look very professional looking like a normal concierge desk. I found it funny when another guest asked her when she was going to get a “real desk”. The owners or whoever is in charge should save up on getting a real desk and work on that if that’s what the hotel is supposedly all about. For the $25 amenity fee I wish that I would be taken in for the facial but it was so limited. HOW MANY People are staying in the hotel and we are all limited to one day and only 4 people out of how many are allowed to go. It kind of shows a reflection of how cheap management is. 4 out of 5 people would rather choose the facial than cleaning up the beach and doing yoga. There’s 2 days of yoga, there should be 2 days of facials instead. Overall staff was very nice which is what made up for some stuff. I would recommend people to stay here if its maybe just a couple nights. I thoughT that the water station was a plus. I don’t know what Shane’s position was but he was all over the place as the jack of all trades. Refrigerated items near the bar were overpriced thank god ABC store was right next door with way cheaper prices. Would I return? Maybe if I’m staying for 1 or 2 nights. I liked how close the beach was and the strip and a lot of restaurants all over the place. There could be a little bit of improvements but other than that its not bad.","Los Angeles, California",0,3.0
745878758,https://www.tripadvisor.com/Hotel_Review-g60982-d596760-Reviews-Hotel_Renew-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hotel Renew,"February 18, 2020","Not worth the price, esp after the resort fee. There is no resort-ish service at all. The location is good, not in the hustle and bustle touristic center but still close to everything. Beds are comfortable. Staffs are not very welcoming. The deco is modern but don't be fooled by the fancy photos on the website. Many things in the room are in poor condition and it seems that they rushed to refurnish the room and forgot the details. We called them many times to repair during our one-week stay, which is not a very pleasant experience. What's worse is there are ants in the room..... Btw, there's no coffee maker in the room!",,4,2.0
745716349,https://www.tripadvisor.com/Hotel_Review-g60982-d596760-Reviews-Hotel_Renew-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hotel Renew,"February 17, 2020","One block off the beach, but with great views from the higher floors, this boutique hotel centered on wellness has great retro styling that provokes a calmer timeRooms are on the petite side with ours being about 305 square feet. The view was impressive from the 9th floor. Best feature in the room was the nightlight feature in the bathroom that only lit the floor - great for not waking up your partner. Beach chairs, towels, and other equipment are all available free to guests. A small bar area was available with very friendly staff, happy to give tastings of the latest beer selections. Multiple breakfast spots and Starbucks were steps away as well as the ever present ABC store right next door. We enjoyed all the restaurants within walking distance as well as the parks by the zoo which were filled with festivals and much to see and do. ","Seattle, Washington",150,5.0
745200721,https://www.tripadvisor.com/Hotel_Review-g60982-d596760-Reviews-Hotel_Renew-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Hotel Renew,"February 15, 2020","The Hotel Renew was a very nice smaller hotel in the midst of the huge Waikiki high rises. The decor is clean and simple, with a bit of an Asian feel. It is located one short block from the hubbub of Waikiki Beach, yet seems like a small oasis in the midst of the chaos. The lobby area is inviting and contains a small bar where you can enjoy a cocktail or grab a quick breakfast. The best thing about the Renew is its warm and friendly staff—everyone we came in contact with was exceptionally welcoming. The rooms include a mini fridge, but no coffee maker. One suggestion—it’s worth paying a bit extra to get an ocean view room on a higher floor (floors 6-9 are best). We actually stayed here twice during a recent trip (interspersed with a trip to the North Shore). Our first stay was on a lower floor and had no view; our second was on a high floor and had a gorgeous view. Unfortunately, like nearly all Honolulu hotels, there is a daily “resort fee”, which I feel should be rolled into the room rate. Nevertheless, they did provide nice beach towels, beach chairs, and daily newspapers. We enjoyed our stays at the Renew and would gladly return there in the future.","Fredericksburg, Virginia",5,5.0
