review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
750653733,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or0.html?filterLang=en,Hudson River Hotel,"March 12, 2020","The rooms are small and very basic. But who wants to spend a lot of time in a motel room when you have one of the best cities in the world at your door! There are no fridge or coffee making facilities in the room, but coffee and pastries are set out for breakfast on the ground floor. The staff are very helpful and the building is safe and secure. ","Sydney, Australia",65,4.0
739527058,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or0.html?filterLang=en,Hudson River Hotel,"January 16, 2020","DO NOT BOOK.This is at best a 1 star stay. Total disappointment. An American faulty towers. Lifts don’t work, heating bangs all night, and no hot water. Staff profess it’s new news, reviews say otherwise. You can do so much better in NYC. Book the Parker Meridian - a really treat. ",,6,1.0
732665093,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or0.html?filterLang=en,Hudson River Hotel,"December 14, 2019","First of all, there were absolutely NO bedbugs. Yes the hotel is old but it is clean. Showers are hot and beds are comfortable. Free coffee and pastries in the morning. Rooms are small but who stays in their rooms in NYC except to sleep? Hudson Yards is amazing and just 2 blocks from the hotel. Everything else is within walking distance or accessible by subway. Perfect place to stay If you’re seeing something at Madison Square Garden. If you’re in a hurry all the time don’t stay here. Elevators and housekeeping are very slow. Front desk staff are friendly.","San Diego, California, USA",0,4.0
731500610,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or0.html?filterLang=en,Hudson River Hotel,"December 8, 2019","I don't even know where to start. The check in was confusing as we had not ordered breakfast yet were charged $20 for pastries...apparently it is a standard charge. They charged $100 to our credit card for any potential damage and in case we smoked in the room. We are in our 60s, non smokers who are unlikely to be having wild parties.There were little insects in the bed which I've discovered are bed bugs (see images) that gave me hives on my legs and incredibly itchy. We've never come across anything like this before and it's very disturbing.The facilities are awful, everything is damaged, cracked and grubby. It all needs ripping out and given a good clean. The carpet was stained and threadbare. There was no bath mat, hand towels or face cloths on the 3rd day when we returned late in the evening.The paintwork and decor is awful.5..it was depressing to be in the room. The h6eater/aircon was jammed against the beds as there was so little room...which is worrying so we turned it off when we went to bed in case it caught fire.The only good thing was the location...we stayed out all the time to make the most of our time in New York.Image 1: One of the tiny insects that we're in the bedding which caused itching and hives.Image 2: Insects crawled in and out of the cracksImage 3:Sockets were cracked, look like it's been that way for some time. We reported the metal tissue cover which kept falling off and they sorted that.Image 4:Lampshades were worn and tiredImage 5:Threadbare and stained carpetImage 6:Cracks on wash basin","Plymouth, United Kingdom",74,1.0
727739480,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or0.html?filterLang=en,Hudson River Hotel,"November 20, 2019","I usually don’t complain, but I had to in this case.The room smelled strongly of stale smoke. The sink was clogged on the day we arrived (they did fix this issue). The bed squeaked with every movement, waking me up every time i turned. Hot air was coming through vent even After the heater was turned off. There was not even a bottle of water in the room and when i tried to get water from a vending machine for the price of $3.00, it ate all the money. The in room phone kept giving busy signal every time I tried to call to the concierge or to hotel services. When i finally went downstairs and complained, they smiled nicely and promised to send somebody to fix the problems. I ask how they’re going to fix the issue of the stale smoke smell. So they basically blew me off. I did not get a different room, the sink was very fixed, but the room continued to smell, the bed continues to squeaked every motion. I was in New York for one night to see my daughter who I haven’t seen for two months. It was a very busy day for us and it was the only night we’re going to spend together I did not want to turn it into the night of complaints at the staff. So I chose to stay in this very very sub -optimal room that they call superior. My daughter will be studying in New York for the next 4 years, I will never go back to this hotel. The worst stay ever.","Los Angeles, California",0,1.0
727070180,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or5.html?filterLang=en,Hudson River Hotel,"November 17, 2019","In New York City for a business conference in the up and coming Hudson Yards neighborhood (formerly Hell’s Kitchen). All the reasonably priced hotels were an expensive and time-wasting Uber ride away. What to do? The cheapest of the hotels close by was The Hudson River Hotel. It’s not a pretty sight when you arrive. You get to the lobby going down a few steps. There is a small elevator but it didn’t work the entire week we were there. A sign by the reception desk (there is no lobby to speak of) warns that the lobby restroom is closed due to “plumbing problem”. The elevator is tiny and has several taped signs warning people not to jump or hold the doors. I was terrified of what I might found. And yet, my room (also my partner’s room on a separate floor) was a wonderful surprise. Large and quiet, especially by New York standards. Very clean. Very comfortable bed and pillows. Fast WiFi. Nice toiletries. A desk to work at. I slept great every night. The front desk employees were really nice. My only issue was that, as befits an old building, there were few electric outlets and I had to move the night table when to have my phone next to me in bed. And it was an easy walk to the Hudson Yards. I recommend for people on a budget who need to be in this neighborhood. ","Seattle, Washington",20,4.0
713563402,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or5.html?filterLang=en,Hudson River Hotel,"September 28, 2019","Great location, close to Penn station. Vibrant area, close to many attractions. Friendly and quite accomodating staff. Bit scruffy-looking, on the surface, but does the job. Decent sized rooms, with good AC and okay bath. No real food service, but a vending machine in lobby. Lacks fridge in room, as well as coffee/tea. Okay value for money. Would go back.","Malmo, Sweden",7,3.0
709134335,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or5.html?filterLang=en,Hudson River Hotel,"September 12, 2019","It was hot and it rained heavily on two days and I was stuck in the hotel room for three days with flood warning and heat advisory messages. I would still do it again. The location of the hotel is excellent I could easily walk to the Hudson and take a stroll along the river, very refreshing. The room was spacious enough and the staff were courteous professional and friendly. The first thing I check when I check in is the shower/bath and I wasn't disappointed. The hotel provides a breakfast snack which is what I need before my sight seeing starts at around 07:30 because I will have a breakfast much later in the day. The area of the city has numerous delis for breakfast, lunch and supper. Madison Square Garden, Times Square, Rockefeller Centre all within walking distance even with my 15-16 pounds of camera gear in my backpack. That means Penn Station is also close by for access everything else. There is a new shopping centre Hudson Yards literally 5 minutes away.","Lusaka, Zambia",9,3.0
702199809,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or5.html?filterLang=en,Hudson River Hotel,"August 23, 2019","I stayed once with 3 friends and it was cheap and the neccessary just for sleeping. Then, an other friend wanted to visit NYC and I recommended this hotel. BIG MISTAKE. We reserved through Booking.com with my credit card, but less than 5 minutes after reserving we realized that she would need my credit card for the check-in, we called the hotel to know if she could bring a different card or cash and they said no. So we decided to cancel the reservation. WE GOT AN EMAIL SAYING THAT THE TRANSACTION WAS DECLINED. After that email me and my friend thought that was it. But on August 16th they CHARGED MY CREDIT CARD WITHOUT MY PERMISSION EVEN WHEN NOBODY SHOWED AT THE HOTEL. And they doesn't want to refund the charge. They had no right of doing a ""second attempt"" without notifying me, because they said my credit card was declined. They just refused to cancel the reservation, even when it was immediately, and charged my credit card. They will take advantage of every situation they can to take your money. Definetly illegal, I'm starting the sue process","Bogota, Colombia",0,1.0
683825818,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or5.html?filterLang=en,Hudson River Hotel,"June 23, 2019","Room was very small, we were two people and we had to put some of our luggage in the bathroom. I don't understand how does the same room accommodate 4 people!!!! Generally overpriced for such small rooms.This is a 15-floor hotel with only ONE elevator, sometimes I had to wait for more than 5 minutes for the elevator to arrive!!!! Staff were nice and friendly. Nice location (about 8 min walk to the nearest subway station but within a walking distance to many major NYC attractions).",,14,3.0
679649356,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or10.html?filterLang=en,Hudson River Hotel,"June 7, 2019","They offered us a room for 3 adults and one child (1 year old). But apparently they don't offer baby cribs, they say there is no room for it.A 1 year old child DOES NOT SLEEP ON A REGULAR BED (we all know that..), but that's what they expect people to do. I tried to cancel it a few hours later and doesn't matter what THEY DON'T GIVE YOU A REFUND.",,0,1.0
671235350,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or10.html?filterLang=en,Hudson River Hotel,"May 3, 2019",Very friendly very helpful very clean Came here on vacation on my own in April and loved it. Very basic yeah but very good. Nice bed nice bath nice bathroom. Staff very helpful and make an effort to get to know you and what you’re doing there. Couldn’t do enough for you. Already looking forward to my revisit in September.,,1,5.0
658447325,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or10.html?filterLang=en,Hudson River Hotel,"March 14, 2019","the location is excellent. the room is small but the beds are comfortable. The people who works they are very attentive. the first thay the entrance was a little dirty but the weather this day was awful, the next day the entrance was already clean pretty early. I like a lot but the price is according to the facilities.","Caracas, Venezuela",4,5.0
656871820,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or10.html?filterLang=en,Hudson River Hotel,"March 6, 2019","The only thing that is good about this hotel is the address, Everything else is bad. The asian woman in the reception needs a lot of customer service training, i know the hotel had very limited amenities but at least if she can deliver the message well (positive scripting) it would help a lot. The black guy who is on duty at night is way better. The room was so small it was so difficult to move around, the carpets were dirty, old fixtures in the bathroom, etc. but since we booked this through Air Bnb, by the time i saw the room it was too late to cancel the booking since we already paid USD 600 for it.. if not for that we would been gone the second we went in the hotel.","Cebu City, Philippines",21,2.0
655877979,https://www.tripadvisor.com/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York-or10.html?filterLang=en,Hudson River Hotel,"March 2, 2019","We had 3 nights booked for the restaurant trade show and when we went into the hotel it was terrible. Dirty lobby the handicap elevator was not working. The lobby food area was run down. They have put 0 dollars into upkeep. It was clean but run down. We asked to see the room before bringing our stuff up. The room was like the rest of the hotel. Kinda dirty and run down. Frayed towels, old fixtures and a general feel that the mechanical aspect of the building was not being looked after. They charged us 159.00 cancellation fee. I can honestly say it was well worth it not to stay at this hell hole.","Avon, Ohio",7,1.0
