review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
751914176,https://www.tripadvisor.com/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York-or0.html?filterLang=en,Hyatt Union Square New York,"March 27, 2020",Hotel was practically empty but they still put me in a substandard room in bad part of hotel. Room was not cleaned well and leftovers from prior guest remained in bathroom. Poor amenities (none). I was shocked. It was so bad I was more interested in getting out of there than complaining and interacting with staff.,,0,1.0
738109527,https://www.tripadvisor.com/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York-or0.html?filterLang=en,Hyatt Union Square New York,"January 9, 2020","If you're looking for a hotel in New York, bypass Time Square and head over to Hyatt Union Square! The staff was incredibly friendly and helpful, always there to greet you with a smile and an offer of assistance. The room was amazing and environmentally friendly. Not only is the hotel amazing, but it is located right in the center of EVERYTHING you need and want to enjoy your stay within walking distance! ",,0,5.0
751428998,https://www.tripadvisor.com/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York-or0.html?filterLang=en,Hyatt Union Square New York,"March 19, 2020","We stay in a lot of Hyatt Hotels and this one was definitely up there as one of the best in the middle of a city! The location was very central, staff was amazing (thank you Anton, Brock, Rick and Victor) and the room was clean and nicely appointed. Added to this, we were staying there at the beginning of the COVID19 outbreak and their occupancy, like everywhere elses, was low. They were still friendly, helpful and upbeat. My daughter and I were so impressed and felt safe to spend our time there even though it was a scary time to be in the middle of NYC. Even our dinner recommendation was amazing... YUMMMM... and thank you for that Anton! We will be back again another time...",Santa Rosa,1,5.0
750646520,https://www.tripadvisor.com/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York-or0.html?filterLang=en,Hyatt Union Square New York,"March 12, 2020","The hotel was convenient to the NYU campus. Parking was right across the street. The staff was friendly and professional, especially Charlene. Rooms size was bigger than expected for New York. Modern and updated. ",,0,5.0
750228438,https://www.tripadvisor.com/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York-or0.html?filterLang=en,Hyatt Union Square New York,"March 10, 2020","I've stayed in a quite a few hotels in Manhattan. At this price range, there typically not great, even the so-called boutique hotels. But the Hyatt in Union Square is outstanding. It's beautiful, clean, efficient, the service is excellent, the breakfast is really good, the rooms while small (it's Manhattan!) are very comfortable and brilliantly designed - in short, it;s my favorite in NYC and will only ever stay there now.","Austin, Texas",0,5.0
749746685,https://www.tripadvisor.com/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York-or5.html?filterLang=en,Hyatt Union Square New York,"March 7, 2020","Very nice. Great staff! Front desk was kind, caring and helpful. Bar was great. Drinks are very expensive but it’s New York. Rooms are small but new. Beds are very comfortable. Restaurant food is good but not great. Breakfast was excellent.","Austin, Texas",0,5.0
749328371,https://www.tripadvisor.com/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York-or5.html?filterLang=en,Hyatt Union Square New York,"March 5, 2020","It’s the go to place for me in Manhattan. Not exactly cheap, however for the money I do highly recommend! It’s in the best location union square, close to subway, close to the tunnels, close to everything. Most importantly they have a Restauraunt on site and an area for break fast, along with a nice bar. Have an amazing gym which is always empty love it, yes has more than enough weights for you to get a pump. Like I said if you’re looking for luxury like the mandarin or 4 seasons then go there, but for work and leisure, whe you don’t want to spend a 700$/ night, stay here! The staff is great, the facility is amazing and well kept the room size is a little above normal for the city.",,0,5.0
748713296,https://www.tripadvisor.com/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York-or5.html?filterLang=en,Hyatt Union Square New York,"March 2, 2020","I had an extremely pleasant stay at Hyatt Union Square this past weekend. Aside from the amazing location, the staff was kind, professional, and made the entire stay as enjoyable as possible. I want to give a special thank you to Elle, Anton, Brock, and Evelina for making the stay memorable! Elle especially is one of the many reasons I will be booking again in the very near future!",,0,5.0
748707379,https://www.tripadvisor.com/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York-or5.html?filterLang=en,Hyatt Union Square New York,"March 2, 2020","But the location is excellent if you want to stay in Union Square, but the service is okay and the room’s are a little bit dark and got nothing special. AND the water bottles are NOT for free... PRANK",,0,2.0
748596074,https://www.tripadvisor.com/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York-or5.html?filterLang=en,Hyatt Union Square New York,"March 1, 2020","Wow - this is my first time staying at the Hyatt Union Square New York and I must say this place is the definition of white glove service. Anton goes above and beyond with every detail to ensure your stay is a wonderful one. I was greeted by Anton with a big smile as my taxi pulled up to the hotel - he opened the door, helped me with my bag and checked me in while offering me an upgrade after sensing that I had had a long trip. He not only helped me understand that I was a World of Hyatt member already (I had forgotten and was happy to get the points) but when asking where I could print some materials for my meeting this week, he so graciously offered to print them for me and bring them directly to my room. My printed materials arrived right away - he even organized each copy so I didn't have to lift a finger! This is my first time at the Hyatt and I've never received such unbelievable service and staff at a hotel. Il be sure to choose Hyatt every time I return to New York. Thank you so much Anton for demonstrating the true definition of hospitality and professionalism to guests! Ill be back!","Boston, Massachusetts",1,5.0
