review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
753118296,https://www.tripadvisor.com/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York-or0.html?filterLang=en,Morningside Inn,"May 3, 2020","The room was tiny, that didn't bother us, was very warm, fabulous location, on the last day we were checking to make sure we had everything, got a massive shock as the bed base was very badly bloodstained, looked like someone had been shot...complained got nowhere...definitely never go back to this "" hotel ""","Glasgow, Scotland, United Kingdom",12,2.0
751001490,https://www.tripadvisor.com/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York-or0.html?filterLang=en,Morningside Inn,"March 15, 2020","I rarely write reviews, but this place is so bad that I feel the need to warn others. I'll start by saying that the pictures are not in any way, shape or form an accurate depiction of this place. Filthy bathrooms, tiny, dirty bedrooms with doors that don't close properly, as well as other guests that appear to be using the place as a half-way house would be much closer to the truth. While we did pay less than what other places in Manhattan are charging, the price that we were charged did not give us any indication that we would be staying in a dump. I was traveling with my two daughters, and because we arrived at 3 am, we stayed until 9 the same morning. We slept in our street clothes, with a table jammed against the door and prayed that in the event of a fire, we could find our way out of the maze that is the hallway. Please do yourself a favour, and stay elsewhere. Due to the lack of accommodations in Manhattan, we ended up going to New Jersey. We definitely paid quite a bit for Uber's and PATH, but the peace of mind was worth it; we also found it to be a nice break from the chaos of Manhattan. Having stayed in the city during previous trips, I assumed that the travel time would not be worth staying anywhere else. I was wrong, and my next trip will be booked in either Brooklyn or NJ. ","Halifax, Canada",1,1.0
744917071,https://www.tripadvisor.com/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York-or0.html?filterLang=en,Morningside Inn,"February 13, 2020","I've now stayed at the Morningside three times and would come back again. Yes, it's a budget hotel with pretty basic accommodations but if you're visiting NYC for pleasure and just need a place to crash, this place fills that need. The Upper West Side location can't be beat either, with quick and easy access to the subway and bus lines. Just have realistic expectations of what you're getting (hint, you don't get fancy champagne on a beer budget) and you'll be fine!","New York City, New York",9,4.0
737663328,https://www.tripadvisor.com/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York-or0.html?filterLang=en,Morningside Inn,"January 7, 2020","In a good neighborhood, this efficiency hotel is a great bargain for New York City! Staff is caring and concerned about guests. Rooms may be small, but you’re not going to spend your day in your room when you’re in New York City.",New York,4,4.0
725740098,https://www.tripadvisor.com/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York-or0.html?filterLang=en,Morningside Inn,"November 11, 2019","I made the mistake of booking this hotel. When I arrived, they said they were sold out of rooms with private bathrooms (which is the room that I had a confirmed reservation for). They offered me a room with a shared bathroom or a refund with an attitude as if being sold out is a natural reason not to honor my existing confirmed reservation. There was no apology or reparation. I wrote to management, but received no reply. Unless you do not mind possibly spending a night on the street, do not book this hotel! The person at the reception told me they couldn't help me but that I was free to complain. Overall, the hotel is a dump. Other aspects are just as mismanaged as the reservation system. Rooms, furniture, and toilets are in disrepair (e.g., sign says don't put toilet paper in toilet or it will clog), sheets and floors are stained, the shower walls are yellow with residue that makes you think twice whether you really need a shower. The most astonishing aspect, however, is the staff's complete lack of acknowledgement of responsibility. ""We are sold out"" (of the room you already reserved) seemed like normal business to them. This hotel does not belong in the hospitality business.",Illinois,4,1.0
719173848,https://www.tripadvisor.com/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York-or5.html?filterLang=en,Morningside Inn,"October 17, 2019","The owner of this place should really do something about the manager he has!!! he is HORRIBLE!!!!!!!! A LOT to go into details but BEWARE!!! the pictures you see on the website is nothing as the real thing, the place is old and dirty. Trust me you do not want to stay here.","Saint Rose, Louisiana",6,1.0
714856205,https://www.tripadvisor.com/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York-or5.html?filterLang=en,Morningside Inn,"October 2, 2019","For starters calling it A room would be stretching it it.Dirty sheets, furniture that looks like it’s been taken out of a charity shop basement.Staff don’t care.Any problems seem to be your fault.Even a door sticking after 5 minutes of you getting there.It says a two start hotel.It’s not even a one.Communal showers and toilets,Covered in mole.Avoid at all costs.","Nottinghamshire, United Kingdom",8,1.0
684111719,https://www.tripadvisor.com/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York-or5.html?filterLang=en,Morningside Inn,"June 24, 2019","DO NOT STAY HERE!!!!!!!!!!After being foolish enough and staying at this hotel for MANY YEARS, I can honestly tell you to avoid this place at all costs. Spend a little more for a better place. I have learn my lesson the hard way. (stubbornly learned)Keep in mind I travel to NYC roughly 6-8 times over the summer months and have given these people thousands of dollars in business. I book WAY in advance, usually in January.THE GOOD:First of all, its a great location, close to the subway, plenty of places to get food, Duane Reade around the corner. Its generally very quiet. I don't think I have ever had to wait for one of the shared a bathrooms.THE BAD:Most importantly..... YOU MAY NOT EVEN HAVE A ROOM WHEN YOU SHOW UP!!!The people who own and work at this place don't care about you, and are not helpful in any shape or form. Not helpful at all.2017: I usually book though hotels.com but for this particular trip I saw a lower price on Morningside Inns website. I go to check in and that's when the person at the desk informs me ""Oh you booked through the website, you shouldn't have done that, it doesn't work"" and ""Sorry we are full booked"" And pretty much, so what, don't let the door hit you on the way out. He didnt give a damn.You would have thought I would have learned my lesson.....2018: Labor Day weekend, after a long day I was exhausted. I go to check in at 9:30pm, this time I'm informed that the day before there was a flood on my floor, so I have no room. What?!?!? So why didn't anyone call me to tell me? Again the person at the desk really didn't seem to give a %#%. He did let me use his phone to call hotels.com since my cell phone was dying. Gee so nice of him. Luckily this time I booked through hotels.com and after hours and a lot of work they helped me get a hotel by 1am!!!!!!! This is NYC and Labor Day weekend of all times, not easy to find a room last minute (it cost me 5X as much money for this new hotel, but hotels.com reimbursed me back the extra cost, I cant tell you how relieved I was)Again, I should have learned my lesson......big time...but noooooo2019: This year I made it a point to call the day before to confirm my reservation. I called 2 weeks ago on a Friday for the following day, it was confirmed. I even asked if my other reservations were showing. Yup. Everything was fine. However when I got to my room it wasn't even cleaned. Good thing there was a spare available. (even though they claimed to be booked)Now my next trip comes. I called last Thursday I was told my reservation was confirmed an all set. Shortly after I get a call back and the girl tells me no, that my reservation had been CANCELED. And cant give me any reason why. On top of that, she had NO RECORD of my other 6 upcoming reservations!!!!! ARE YOU KIDDING ME?This year I have booked through agoda.com and they confirmed that my reservations were active and confirmed. They called Morningside Inn Several times and told me they couldn't reach any manager there and the people they did talk to at the desk were rude. (agodas words) They have tried to reach the hotel manager by phone and by e-mail, and as far as I know now (Monday Night) no one has responded to them.As I said I book well in advance to save money and to ensure I have a place to stay as NYC is such a busy place. They completely screwed me over and now its going to cost me much more money to re-book 6 more hotels for the rest of the summer.If you don't learn from my mistakes, well good luck to you. Perhaps you will get lucky and enjoy it. Or perhaps you will show up and have nowhere to stay. If you like the save money and are a gambler type..... go for it!!!",,5,1.0
676922941,https://www.tripadvisor.com/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York-or5.html?filterLang=en,Morningside Inn,"May 27, 2019","Upon arrival the manager was very helpful with us all, the room was clean & beds were tidy. Very much “you get what you pay for” being just a standard room, but more than worth the low price you pay! Working TV was a bonus. Would definitely visit again.",,0,5.0
676534165,https://www.tripadvisor.com/Hotel_Review-g60763-d249710-Reviews-Morningside_Inn-New_York_City_New_York-or5.html?filterLang=en,Morningside Inn,"May 26, 2019","I am writing this to set the record straight. You don't need me to tell you that this is one of the cheapest places in Manhattan, almost amazingly so because it's on the elegant upper west side just a few blocks from St John of God. You probably also don't need me to tell you that in the past it got some pretty terrible reviews, which are still coming back to haunt it, because things that people write in 2007 or 2008 seem to stay permanently and rise to the top of the google page when you type in the name of the hotel. We looked at those AFTER we had booked, and, of course, had second thoughts about the whole thing... who wouldn't? Maybe that's why it's still so cheap, because a lot of people might be turned off by a negative appraisal and not even notice that it was written eight or ten years ago. What you DO need me to tell you is this: we decided, with some misgivings, to go ahead with our booking, mainly because we couldn't find anything in the area remotely near the price Morningside was charging, so we turned up, hoping for the best but prepared for the worst. And what a surprise! The people who wrote those bad reviews back then might just as well have been writing about something on another planet. Our room was spotless, the facilities very good, and the staff just wonderful to us, In fact, on leaving I asked both of them their names so that I could mention them in this review. We were so thrilled with Nina and Tanya; I doubt if you'd find anyone in any hotel who appeared to be more interested in, and delighted by, their guests. They treated us like friends, not one-night tourists. Well, the bad reviews were from a decade ago, but here's the story in 2019: my daughter has decided she is going to New York in December on her honeymoon, and the first thing I said to her when she announced this is, ""You just HAVE to go to Morningside Inn, and I will write to Nine and let her know you're coming."" I don't think I have ever said that before about ANYWHERE. I guess if a few more NEW reviews get onto google they will start to put their prices up; so my advice is, simply, don't leave it too long if, like us, you like a bargain!",Sydney,7,5.0
