review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
752540657,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or0.html?filterLang=en,Pod 51 Hotel,"April 12, 2020","We got a free upgrade , and all the staff were really helpful and delivered with a smile.They gave local info as well to help make our stay even better.Well done the pod 51 under really hard circumstances you looked after us I can’t say that for the hotel we then went on to in Miami.","Leeds, United Kingdom",6,5.0
751187772,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or0.html?filterLang=en,Pod 51 Hotel,"March 17, 2020","We stayed at the lovely Pod 51 Hotel for ten nights.It was a holiday visit to the Big Apple.Having stayed at another Pod Hotel in NY previously, I booked this one without thinking twica.We toook a ""Full Pod"" room which has a double bed, a private en-suite batheroom and even a little writing desk for my laptop.The room is small, but has everything you need.With NYC prices, you cannot beat this deal!!The hotel is centrally located. The staff was extremely friendly and knowledgeable. The room was spotlessly clean. The roof terrace was lovely, with great views, day and night.All in all, we have only good things to say.Great NYC Hotel!! Excellent Deal!!","Hod Hasharon, Israel",382,5.0
750975934,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or0.html?filterLang=en,Pod 51 Hotel,"March 15, 2020","My daughter had booked into this hotel near the UN. When her conference was cancelled she decided to make a holiday of the non-refundable trip. So I booked in as well. The room was clean, comfortable, and conveniently located. There were lots of good restaurants nearby, subway was easy to get to, and we felt at home and safe in the neighbourhood. The staff were friendly and helpful, and my room was cleaned very well. Finally, there was a $20 shuttle to the Airport - that was really convenient on Friday, as I left.",,0,4.0
750861876,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or0.html?filterLang=en,Pod 51 Hotel,"March 14, 2020","Just come back from a 4 night stay in pod 51 with my 8 year old daughter, after reading some reviews i was abit anxious. Well there was no need, staff were very friendly, check in quick, rooms are small but cosy, we had a double with private bathroom. Roof terrance was lovely with amazing veiws at night. Fresh sheets and towls daily was lovely. Hotel was clean, staff were friendly and very good with my little one and being on the 9th floor there was minimal noise. I very raley write reviews but i do when i think they are deserved. Thank you pod 51 we had a lovely time.","London, United Kingdom",9,5.0
749927702,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or0.html?filterLang=en,Pod 51 Hotel,"March 8, 2020","The room only had one power outlet that worked which was in the bathroom. The two small tvs and all other outlets did not work at all. Not only were we in the dark during our stay, but the front desk had promised multiple times that they would fix this. The issue was never resolved, and we were actually charged a late checkout fee even though we requested late checkout. The manger at the front desk was mad at us and told us that ""there is no such thing as a late checkout"" even though they advertise this. All in all, we paid more money that we were supposed to stay in a dark hotel with minimal service.",,0,1.0
748187764,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or5.html?filterLang=en,Pod 51 Hotel,"February 28, 2020","Booked via last minute.com for a room in December as part of a 4 night city break. Having read the tripadvisor reviews prior to booking, I decided on this hotel. We got the airlink and subway from the airport even though late at night, the subway stop is literally 5 mins walk from the hotel, which was a lot cheaper than a taxi. Room was clean, small but adequate for city break as didn’t spend much time in the room or hotel. Only comment would be that the shower is a glass door into the bedroom, which wasn’t any issue for us, but may be a problem for anyone staying with a friend or family member who isn’t their partner. Hotel has a small cafe downstairs which we didn’t try, so can’t comment. Upstairs has a small sun deck and chairs with a good view, probably nice in the summer! Hotel reception were efficient checking us in and out and looked after our bags in the storage room due to us having an evening flight. Ideal location, 10 walk to rockafella and 15-20 mins to Times Square! Would definitely stay at this hotel again if choosing a budget friendly city stay. ","Northallerton, United Kingdom",34,5.0
747136441,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or5.html?filterLang=en,Pod 51 Hotel,"February 23, 2020","Stayed here for a week at the end of January 2020. Check-in was quick and simple, can't remember the name of the guy but he was very friendly and was eager to help. Note that you don't get much documentation about the hotel in your room (if a small menu for the cafe downstairs was in the rooms I would have went a lot sooner)of what is nearby but if you ask at reception they had pages of nearby bars/restaurants that they gave.If you go accepting the fact you aren't getting a huge room and accept it is a budget hotel, you'll love it. Cosy rooms albeit a bit more sound protection from the hallway would have been preferred (I fear my loud snoring may have went through to every room ).I opted for a full pod which included a bathroom inside, tight squeeze but worth it I feel. Rooms included a safe, comfortable bed and a TV. Make sure you do one of the walking tours offered by the hotel.When you're visiting NY you'll not be spending much time in your room but Pod 51 was a perfect location to be able to get out in the morning, pop back for a recharge if needed and head out again. Highly recommend.","Belfast, United Kingdom",2,4.0
746572807,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or5.html?filterLang=en,Pod 51 Hotel,"February 21, 2020","Stayed here whilst on business on the area for a weekend. Good location, small but clean room, shared showers- always clean. Useful lights in the rooms to show when and which showers were free. Ideal hotel","Kingston-upon-Hull, United Kingdom",18,4.0
746157986,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or5.html?filterLang=en,Pod 51 Hotel,"February 19, 2020","I stayed at this ""hotel"" in November of 2019. I opted for a room where you share a bathroom with people on your floor. They were pretty small and didn't have much space for me to set my things but long as they were cleaned regularly, they were fine. The rooms however were tiny. My friend and I stayed in a bunk bed and we could barely stand next to each other. IT WAS TINY. The walls are also very thin. Also, you better hope you're not neighbors with any couples because I heard the action as if i was right there with them LOL.I think its a decent place to stay if you book a room with a private bathroom. But at times it kind of felt like a hip jail cell. If you're on a budget and only need the absolute minimum, you'll be ok. Location is the major pro about this place.","Los Angeles, California",3,3.0
745273272,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or5.html?filterLang=en,Pod 51 Hotel,"February 15, 2020","Small rooms, but are manageable if you use all space, i.e. Drawers etc. Although we found we didn't spend much time in the room anyway. Bed comfy, close to all must see attractions central park, times square. Friendly staff. Free walking tours for guests. Ess a bagel around the corner from the hotel is a must, the bagels are delicious. Security deposit of approx $15 dollars on debit card upon check in. Upon check out they will allow you to store your bags for free, just appreciate a tip. Pod Cafe do lovely hot chocolates for the cold weather. There is a roof top garden on floor 14 which is a must see on both day and night, the view is fab. Morning star cafe around the corner do fab pancakes, although they are a bit expensive. Jack dempseys bar is one to visit, lovely nachos and mozzarella sticks, portions are huge and good value for money. Would def recommend and would return. ",,8,5.0
744142508,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or10.html?filterLang=en,Pod 51 Hotel,"February 10, 2020","I was traveling solo for a seminar, and stayed here because it was close, convenient, and affordable. Overall, it is definitely a hybrid of a hostel and micro hotel. Did not get to check out the roof, but it is February. It was considerably cleaner than I expected, but the hallways were quite dim. Staff was super friendly and helpful. Will hold your bags on checkout day if you have plans beyond checkout time. I stayed in a queen room with private bath; the shower was about 30""x30"". On morning #1, I had hot water in the shower within a minute; on morning #2, it was an 8-9 minute wait for hot water (I ate a cup of yogurt and a banana and still had time to kill). Bath and hand towels were provided, but no washcloths. When I inquired about this on checkout, they told me that they had a limited quantity, and washcloths were available upon request, I found this to be quite odd. Other reviewers mentioned difficulty with rooms being either quite warm or quite chilly. When I returned from dinner on night #1, the room was 76 degrees; I switched from heat to AC, set it at 72 degrees and the room stayed around 70 all night. I turned the heat back on for about an hour on evening #2, and then went back to AC, and the temperature was fine, overall. Other reviewers also commented on the noise from outside of the hotel. I didn't have a problem with this at all. The walls are not at all soundproofed, however, and I could easily hear the shower running on the other side of the wall, and people talking in the room on the other side of me. Overall, it was convenient, clean, and met my needs for a very reasonable price close to midtown. Close to subway stops and lots of good restaurants. Will definitely stay here, or at another Pod, again when in Manhattan.","Harrisburg, Pennsylvania",4,4.0
743806897,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or10.html?filterLang=en,Pod 51 Hotel,"February 8, 2020","Nice property! Stayed in queen room w bath, small (it’s a pod!) but adequate. Fairly convenient location near United Nations. Reasonable pricing , nice staff. Near restaurants. Subway stop only a few blocks away. ","Lititz, Pennsylvania",39,4.0
741182391,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or10.html?filterLang=en,Pod 51 Hotel,"January 25, 2020","I stayed here for seven nights around Christmas. I have to say the room was more spacey than expected, so that was great, I'd compare it to a cabin on a ship. I had a room that was quiet, had great AC, and was always super clean. It is literally the best you could get for the price you pay. You can't expect who-knows-what in NYC when it comes to accommodation. All in all if I ever find myself in the city again, I'll probably stay at Pod 51 again.PS. The staff was super friendly and helpful with whatever I needed :)","Rijeka, Croatia",7,5.0
739300787,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or10.html?filterLang=en,Pod 51 Hotel,"January 15, 2020","Sort of like a youth hostel for grown-ups. Something back-packery about it, but loads of young folk doing their thing. I'm an ancient 61 but nobody is fazed.. Its fine, its clean, quiet, everything works.","Oxford, United Kingdom",53,5.0
739230145,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or10.html?filterLang=en,Pod 51 Hotel,"January 14, 2020","This hotel is small but perfectly formed. All the staff we very helpful and tried to accommodate everyone's needs. It was nice to see concierge, they gave us advice on companies to use for a cycle round central park and which bars to visit in lower Manhattan. Metro station just round the corner, as well as convenience store and restaurants/coffee shops.The rooms are clean and inviting though very small. This is something we knew through previous recommendation. Two people and two bags was a tight squeeze, though doable for a short stay. Beds are comfortable. Visit the rooftop for see views of the city day and night! The bar next door to the hotel is great, especially if you like beer, good music and lots of board games. My only concerns whilst there was outside noise, just be wary if your a light sleeper we stayed on the 3 or 4th floor. The shower/toilet - the shower was just clear glass so could be seen from the room and the toilet door (slide Infront) was tinted. We ended up doing a little manoeuvre and used the sliding door to cover the shower.","Andover, United Kingdom",17,4.0
738455174,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or15.html?filterLang=en,Pod 51 Hotel,"January 11, 2020","Weve recently returned from a 5 night stay here. We stayed in a full pod on the 11th floor. Room was clean, smart, tidy and modern. Bed was very comfy. Front desk and concierge were very friendly. There is a lovely chinese restaurant and takeaway- Panda - at the end of the street plus a cafe - Ess a Bagel - whichwe had breakfast in each morning. From the hotel it's only a 15 min to Times Square and Rockafeller centre. Would definitely recommend and will definitely return",,4,5.0
736215486,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York-or15.html?filterLang=en,Pod 51 Hotel,"January 2, 2020",I just lost more than 600 euros by booking in this hotel! As soon as they have the opportunity they will rip you off and rob you!I am now without a hotel for my stay with more than 600 euros less! I strongly recommend! They are not friendly and not accommodating.They've have stole my all economies,,2,1.0
