review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
753031833,https://www.tripadvisor.com/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York-or0.html?filterLang=en,Sheraton Tribeca New York Hotel,"April 29, 2020","Promised breakfast wasn't provided. When I posted this on Marriott.com I received an email asking me to contact the hotel. I did but the person who emailed was no longer employed and whoever answered had zero interest in why I'd called. Upon checking my review on Marriott I see that Mia Fowler responded claiming no harm was done because we ate in the lounge. My review noted this wasn't true, we paid to eat out. She also claimed to have put 5,000 points in my Marriott account for our inconvenience but it's coming up on two months and nothing has credited.Advice to property, when you mess up and email a customer asking them to call in, don't blow them off when they do. More advice. When you promised a token amount of points to make up for a larger loss, at least follow through.Not a bad hotel but sloppy management.","Portland, OR, USA",19,3.0
751028606,https://www.tripadvisor.com/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York-or0.html?filterLang=en,Sheraton Tribeca New York Hotel,"March 15, 2020","There is nothing exceptional about the Sheraton. However, given its location (Manhattan) and the fact that I've had my share of stays at incredibly subpar properties in the area, I'd consider the Sheraton to be a decent place to stay, especially when considering the price.Rooms are spacious enough, breakfast is decent enough, it's reasonably clean (although it could stand to use a refurb in the near future) and has fast WiFi. The right kind of business hotel that does the job and doesn't break the bank. This is my third stay there, and won't hesitate to return should I have meetings nearby.","San Jose, California",148,3.0
750644669,https://www.tripadvisor.com/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York-or0.html?filterLang=en,Sheraton Tribeca New York Hotel,"March 12, 2020","I've stayed at this property several times over the past 10 years and I must say that the service has definitely improved since then. The rooms are very small and for me at least, good for 1 person to relax in comfortably. Most of the time I've gotten rooms facing east or south which means very little to any view but recently I (somehow) got a west facing room which faces towards the Hudson River (although you need to have a higher floor to get the true view). Rooms have been renovated in the last few years with the typical Sheraton standards----clean and comfortable and they usually stock the bathroom with all the amenities you might need.Staff has also gotten better----in the past they were a bit gruff but now are much friendlier and helpful. If you want/get Club access, the Club has terrific views including an outdoor terrace (which is open to anyone staying on the Club floor). The Club is smaller than most and can get very crowded if there are more than 15 people in there. The location is central to SoHo and downtown/FiDi (about a 15 minute easy walk). If coming from JFK, the E train stops right around the block at Canal Street making it easy to get to or depart from. Lots of terrific bars and restaurants in the immediate area and while there are many pricier ones, do look around on the internet as there are many reasonably priced (and fun) places here too.","Los Angeles, California",7,4.0
749852036,https://www.tripadvisor.com/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York-or0.html?filterLang=en,Sheraton Tribeca New York Hotel,"March 8, 2020","Living in CT and working in NYC I often come in for a weekend or day trip. For being in NYC, this hotel is actually a great deal.The hotel itself is out of the hustle and bustle of Times Square (where I ended up anyway due to a broadway show). It was an easy subway ride from our hotel to Times Square. If you are traveling by subway keep in mind it’s $2.75 per person per ride. The subway stop is Canal St but it’s a few blocks walk to the hotel. It’s easy to miss it if you aren’t looking for it, look for the large post office on the southeast corner. We got to the hotel around 5PM and during our walk we were harassed by the typical Canal St dealers selling their knock offs. If you aren’t interested, keep your eyes down and keep walking. We got a standard room for under $100/night which was an amazing price for NYC. Being Marriott Elite we were hoping for an upgrade but on a Saturday night there were none available. Hoping for the best but preparing for the worst, we made our way up to our room and was pleasantly surprised. Room 1620 was the typical small size but had a gorgeous view of the city. The room could use an upgrade but it met our needs just fine. The room looked right out to the NYC skyline, seeing Hudson Yards, the Empire State Building and everything in between. During the day it was nice but at night you can’t capture how pretty it is. The bed was comfortable enough and we both had a decent nights sleep. We got 2 free bottles of water in the room along with a larger bottle for purchase for $4. If you have lounge access, just go and grab a few bottles from there if you need. The only time the room was too small was when my wife was sitting at the desk and I needed to get to the chair on the other side of the room. I couldn’t squeeze through so I had to roll over the bed to get there.Being elite, we get access to the lounge on the 21st floor. This was also small but nicer than other lounges we’ve been in. They have the same gorgeous views of the sunset but just a bit better because of the additional height. They have a nice happy hour every day from 5-7PM. They offer free wine or beer plus some snacks like cheese, hummus, veggies w/ dip and chips and salsa. We heard there was food there and thought we’d be able to eat dinner there but that wasn’t really the case. There was a good amount of food but I wouldn’t plan a dinner around this. We did enjoy about 7 glasses of wine amongst the 2 of us so I can’t say anything bad about the lounge. The noise wasn’t too bad from the outside. Not sure if it was the fact that we were on the 16th floor or that there wasn’t too much car traffic in this area but I didn’t hear anything throughout the night. Overall this was a pleasant stay and hotel and I would stay here again versus being right in the heart of the city.","Stamford, Connecticut",3,4.0
748126803,https://www.tripadvisor.com/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York-or0.html?filterLang=en,Sheraton Tribeca New York Hotel,"February 28, 2020","We stayed here for the NY Times travel show. For us the hotel was perfectly situated. We could walk to the World Trade Center sight, thete's a great deli and coffee shop next door. There are 2 different subway stops, one right around the corner and the other maybe 2 blocks away. There is also a great little Italian restaurant around the corner recommended to us by the concierge.The concierge was amazing. So funny and full of life. He was like watching a show with everyone. The room was nice but it seems the windows aren't double glazed because I have stayed in lots of big cities and this room was by far the noisiest. You heard every noise outside. The room itself was large but weirdly configured. To get into the teeny tiny dark closet you had to move the nightstand to open the door. I needed my flashlight to see inside. In order to see the TV from the bed you needed to lay on your left side as it is directly next to the side of the bed. Our room had a very comfy chair and sofa. There was also a large kitchen table and 4 chairs...weird. I think the whole room needs to be redesigned.The executive lounge was small and very hot with a limited breakfast selection. Not what is expected in an executive lounge. However in the warmer months, this lounge also has a huge outdoor area with amazing views. Again a redesign is needed and a refurb as the furniture is all dirty and stained. Nice touch in the evening is free unlimited booze.The staff are all exemplary. From the minute I arrived everyone was wonderful. Housekeepers, front desk staff, executive lounge staff and especially the concierge.As a lifetime Titanium member I have stayed in lots of Marriott properties. For me it served ir's purpose for a 4 night stay but I don't know that I would want to stay longer. That being said, I am planning on returning January 2021.","Naples, Florida",250,3.0
747160101,https://www.tripadvisor.com/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York-or5.html?filterLang=en,Sheraton Tribeca New York Hotel,"February 23, 2020","We loved Dion who took care of us for cocktails on the 21st floor lounge. He is very kind, helpful and full of positive energy !We love him!! This hotel should be thankful to have such a wonderful person working for them .",,0,5.0
746555460,https://www.tripadvisor.com/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York-or5.html?filterLang=en,Sheraton Tribeca New York Hotel,"February 21, 2020",We stayed here for 3 nights in November and thoroughly enjoyed our stay. Room was exactly as expected and staff was very helpful. This is a great location with lots of food choices and a great deli next door. We would stay here on our next visit.,"Matthews, North Carolina",14,5.0
744412057,https://www.tripadvisor.com/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York-or5.html?filterLang=en,Sheraton Tribeca New York Hotel,"February 11, 2020","One of the Marriott Bonvoy hotels, this is a good, basic place to stay in the Tribeca area. The rooms have no frills but are comfortable. No shower gel but soap and shampoo are provided. Staff very pleasant and helpful. There is a fitness suite. You can borrow an umbrella for a $50 deposit if it’s pouring down. They offer a green deal without housekeeping for 500 points a night. ","Dublin, Ireland",51,3.0
744151037,https://www.tripadvisor.com/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York-or5.html?filterLang=en,Sheraton Tribeca New York Hotel,"February 10, 2020","I'm a pretty low maintenance traveler and do not expect perfection, but my recent experience at this property was so bad I feel an obligation to share it in this forum. We stayed for one night this past weekend and had the following issues: 1) 20th Floor room was incredibly noisy from both the street (which is understandable, it's NYC) but also from the elevator, which generated a loud banging noise all night. This hotel is poorly maintained, has thin walls and is long overdue for renovation. Do not stay here if you need to sleep. 2) The Sheraton ""Lounge"" is a gross exaggeration of what you're getting. The Sunday breakfast ends at 9am, the earliest I've ever seen for a weekend breakfast, and food/beverage options the rest of the day are minimal. Not worth the upgrade. 3) Service at the front desk can best be described as apathetic. There seems to be no incentive or desire to do anything but the bare minimum. With all the great hotels in the area, don't waste time or money at this outdated property. ",,1,1.0
744138195,https://www.tripadvisor.com/Hotel_Review-g60763-d1783324-Reviews-Sheraton_Tribeca_New_York_Hotel-New_York_City_New_York-or5.html?filterLang=en,Sheraton Tribeca New York Hotel,"February 10, 2020",Stayed at the Sheraton Tribeca first week of February 2020. This is a great hotel. Staff are professional and friendly. We always got a lovely greeting when leaving or entering the hotel. The location is just brilliant. We used the subway for the week and it seemed that every train stopped on Canal Street where the hotel is based. Yes turning right out of the hotel means you do come across some street sellers which may seem intimidating at first but they are not. Once you say no they move onto the next person. Turning left and then left again puts you into a really lovely area with great restaurants and the best pizza slice I have ever had. Room was very clean and much larger than we expected for New York. No real noise issue but then again we were tired from exploring all day. One block up and you are in Soho and would pay much more per night. Easy to walk to One WTC. We will definitely stay here again as it is a real gem in an expensive city.,"Manchester, United Kingdom",32,5.0
