review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
752963471,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or0.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"April 27, 2020","We spent a week at the Hampton Inn in a family room. Room was clean, beds were comfortable and the room size was good for NYC. Breakfast was ok with a good selection of options, however be sure to avoid between 8-10 as it does get busy. When it is busy, it is painful and we did a couple of times go out and buy breakfast, which is a little bit of false economy as we had paid for it in the hotel price, but the area was too small to be comfortable eating.All of the staff were friendly and helpful. Free coffee and hot chocolate in the room and hotel lobby. The location is right in the middle of midtown so really handy for first time visitors to NYC. We picked this hotel because it's close to major subways and Port Authority. Would definitely visit again.Recommended. I wanted to give it a full 5 stars, but for 2 of the days we were there, one lift was out of service and when you are on the 8th floor, that is a little grinding on how long it takes to get a lift fixed....","Birmingham, United Kingdom",115,4.0
751621924,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or0.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 22, 2020",Great location ! Easy to get around ! Rooms are very small so not good for family of 4 with luggage. Ended up getting 2 rooms since we were staying for a week ! Felt safe during the virus ! Breakfast was great each morning and whole staff very friendly! Self serve laundry service ! And great having a concierge and bell man !,"Colorado Springs, Colorado",1,4.0
751114515,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or0.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 16, 2020","Rooms were clean, concierge was extremely helpful in booking tours and shuttle to airport. Great location, was in easy walking distance to the subways and lots of restaurants. Pretty quiet considering it is located right off Times Square. Will stay here again!",,0,5.0
750886195,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or0.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 14, 2020",Hotel is in a great location. Close to Times Square. Close to the metro and the bus station. Rooms are a decent size. Updated bathroom and good quality amenities. Comfortable beds and good pillows for the bed. ,atlanta,10,4.0
750761039,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or0.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 13, 2020","Stayed here for 4 night and had a lovely time.It was nice to find a New York hotel that included breakfast, the breakfast staff were always friendly and helpful.The reception staff were very helpful, especially when I had a problem and needed to use the courtesy phone in reception a couple of times.The hotel is in an ideal location just minutes walk from Times Square and many other attractions.A couple of days the hotel was very busy with groups, this never detracted from our stay ","York, United Kingdom",49,5.0
750343600,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or5.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 10, 2020","We spent a week at the Hampton Inn. Room was clean, bed was comfortable and the room size (king) was good for NYC. We had a room on 4th floor facing the back so not much of a view, however this didn't bother us as it wasn't our first visit to NYC and it was good to have peace and quiet to sleep. Breakfast was ok with a good selection of options, however be sure to avoid between 8-10 as it does get busy. All of the staff were friendly and helpful. Laundry facilities were good and everything was clean. Free coffee and hot chocolate in the room and hotel lobby. The location is right in the middle of midtown so really handy for first time visitors to NYC. We picked this hotel because it's close to major subways and Port Authority. Would definitely visit again.",United Kingdom,28,4.0
750318484,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or5.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 10, 2020","There are hundreds to choose from but I will definitely stay here again on my next trip to NYC. This hotel is convenient to Times Square and across the street from the 42nd street subway station. Our room was larger than other hotels we've stayed at in the vicinity and everything seemed new and was clean. The staff was friendly, polite and helpful (even pulled a band-aid out of a drawer when I asked where to buy some). Will highly recommend this to anyone I know headed to NYC.",,0,5.0
749713418,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or5.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 7, 2020","Very convenient to both the Port Authority Terminal and the theater district. Room was fine — not big but perfectly adequate — well laid out and clean. Reasonably priced by NY standards. Breakfast included, which is also a nice convenience, but don’t expect a gourmet experience. Staff at the front desk were friendly and there was no wait to get to them even though the hotel seemed pretty busy. All in all, a good choice in the Times Square area, especially if arriving at the Port Authority with luggage and a desire for a short walk to your hotel.",,10,4.0
749614262,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or5.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 6, 2020","The HAMPTON Inn Manhattan always has great value in terms of room rate, service, location and amenities . The breakfast is good , the service is excellent the the location is excellent for theater goers .","Wollongong, Australia",23,5.0
749359417,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York-or5.html?filterLang=en,Hampton Inn Manhattan / Times Square Central,"March 5, 2020","We stayed at this hotel for a friends birthday celebration and it was great. Steps away from Times Square and all the fun. It was cold so we used rideshare or subway when going further out. It’s all steps away from the Path station. Wonderful staff! Only thing is the elevators can get a little backed up during check in time, but you don’t have a long wait. Can’t wait to go back!",,0,5.0
