review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
753492667,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or0.html?filterLang=en,Park Central Hotel New York,"May 13, 2020",My stay at the Park Central hotel was great except for one incident. Cheryl at the front desk was amazing. She’s an asset to the hotel. The room was clean and efficient. Ten minutes after checking out I called the hotel because I left a brand new necklace that was a birthday gift on the desk in the room. I was connected to housekeeping and security who located my necklace. Trudy from housekeeping took my credit card number and address to send me my necklace and that’s the last trace of my necklace. Numerous phone calls and emails failed to produce any answers. If the necklace wasn’t found I’d understand but to get to that point and the ball to be dropped certainly tainted my opinion of the hotel.,,0,1.0
753150549,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or0.html?filterLang=en,Park Central Hotel New York,"May 5, 2020","The staff at Park Central Hotel were amazing here are few that I would like to recognize. Nick, Angela and David thanks for taking care of me during my visit. The staff was very friendly and attentive to all the guest needs.",,0,5.0
753066986,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or0.html?filterLang=en,Park Central Hotel New York,"May 1, 2020","Arrived on March 29th to Park Central Hotel, myself & five of my coworkers from Krucial Staffing preparing for a large intake of Doctors and Nurses to support the COVID-19 outbreak in New York. Upon arrival we were greeted with opened arms by the management staff Eric Palmer, Quimby Hightower, Linda Foster, Sokha Puth, and a host of hotel employees. This establishment has supplied myself and our Krucial Staff with more than your average hospitality especially given the current circumstances, we’ve been granted access to everything we need here to support the mission during this crisis. On behalf of myself and the other 800plus staff members you’ve opened your doors to here @Park Central & West House Hotel WE THANK YOU ALL...GOD BLESS",,0,5.0
752965949,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or0.html?filterLang=en,Park Central Hotel New York,"April 27, 2020","The rooms were very comfortable, well equipped and clean. And the maid, Maritza, is amazing. She made us feel really good during our visit.The hotel is very well located in the city. But maybe they should add the possibility to have lunch or dinner there. That was our bigger struggle during our New York trip.On the other hand, there are only two elevators available for all the guests, so you have to wait a lot to go to your room or outside. Also we booked a double room, with two beds specifically, but when we arrived they gave us a one bed room and to get another room we must pay almost the double that we already did.Except for those details, it's a good place to stay. We were there during Christmas 2019 for a week.","Cordoba, Argentina",0,4.0
752865552,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or0.html?filterLang=en,Park Central Hotel New York,"April 23, 2020",I am here for a few weeks with my job helping out during the nursing shortage and my experience has been nothing short of amazing! The staff are wonderful and caring and just all around awesome! Q has gone above and beyond for all of us and he's an immaculate dresser lol. 10 out of 10 will be back in the future!,,0,5.0
752775193,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or5.html?filterLang=en,Park Central Hotel New York,"April 20, 2020","Mr Hightower and his entire staff have gone over and above to help us at every turn while we are here for the Nursing shortage. Cant wait to come stay here when the World is right again. We are here to support the 900 Nurses in the Hotel and I am sure that we have created some challenges for them. Whenever I have a request, his staff does everything they can to make it happen. We are working our Head Quarters 24/7 and there is no drop off in service no matter what time of day.",,0,5.0
752716794,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or5.html?filterLang=en,Park Central Hotel New York,"April 17, 2020","The Company I am with has deployed over 800 Nurses and Staff Members to Park Central Hotel to support New York City's local Hospitals as they are currently overwhelmed with COVID-19 Patients. First I want to say that even with the many, many unique challenges that Quimby Hightower and his staff are faced with on a daily basis (receiving over 1000 packages daily, working in a potential hazardous environment, and making arrangements for us to create a command center in the ballroom) their unwavering support, service and willingness to provide anything and everything that has been asked of them has never wavered. Mr. Hightower and his Essential Staff are always so friendly! They treat each one of us like Royalty and ALWAYS greet you with a smile. I am constantly in awe of how clean the Hotel is and how often and thorough it is cleaned. I am excited to visit my new first choice for a Hotel when the world returns to a sense of normalcy. Park Central should be your first choice when you need a Hotel in NY.","Columbia, Missouri",0,5.0
752688383,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or5.html?filterLang=en,Park Central Hotel New York,"April 16, 2020","I am staying here for a few weeks and this place has really been the highlight of my trip. Quimby, Eric, and all their staff have been more than gracious and accommodating. I would truly recommend this hotel to anyone that wants a luxury room near Times Square AND Central Park!",,0,5.0
752687681,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or5.html?filterLang=en,Park Central Hotel New York,"April 16, 2020","Park Central may have the most accommodating staff to date spear headed by Hotel Staff Quimby. During the toughest of times of the current virus, Park Central has done everything they can to keep the facility safe and clean for everyone.",,0,5.0
752623381,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or5.html?filterLang=en,Park Central Hotel New York,"April 14, 2020","During these troubling times, the staff of Park Central asked ""How can we help?"". In preparation to receive several hundred nurses coming to help those in need Park Central accommadated us with no hesitation. There willingness to help and provide went beyond my expectations. Never have I've seen a leadership so willing to open the doors and help to do the right thing. I strongly encourage all those who visit New York to stay there. If they were willing to go the extra mile during an emergency, I can only imagine how far they would be willing to go when things get back to normal. I want to thank Erik, Quimby and Linda. Also the rest of the staff that were working behind the scenes. Thank you",,0,5.0
752597609,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or10.html?filterLang=en,Park Central Hotel New York,"April 13, 2020","Well, I always told my husband that I want to go back to Manhattan and if at all possible be a short walk from Times Square. I honestly never thought we'd be able to afford it due to crazy prices. Well for our 19th wedding anniversary, he completely surprised me with a week at Park Central Hotel. I thought for sure he broke the bank for this trip but I finally got the pricing out of him. All I can say is WOW, for the price, I don't think it can be beat. The hotel itself is really nice, the staff is wonderful and very helpful and did I mention the location? It's probably a 3 to 5 minute walk to Times Square and about, if I remember correctly, a 5 to 8 minute walk to Central Park. There are great places to eat and even get midnight cheesecake right around the corner. I usually stay in the East Village area, Alphabet City and the like, or Queens. You can get a lot for your money in the East Village. All that being said, this was the best week of my life. You really can't go wrong with Park Central Hotel. When searching for lodging the price may scare you because it is really low compared to others in the vicinity. Don't let that happen, it will exceed your expectations. I can't wait to go back, and if it's up to me, we'll be at Park Central Hotel.",,0,5.0
751996254,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or10.html?filterLang=en,Park Central Hotel New York,"March 29, 2020","Well located, walking distance from times square and most theaters. Also, short walk to central park. The room was clean and safe - so for the essentials, not bad. Check is horrendous - waited for about 45 minutes to be checked in, which felt like a waste of valuable time. The elevator was so slow that we would deliberately pack extra supplies to avoid having to return to the room any more than absolutely necessary. If you want to avoid ridiculously high prices, and don't mind being inconvenienced waiting for check-in and elevators, this place isn't all bad. ",,1,3.0
751543338,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or10.html?filterLang=en,Park Central Hotel New York,"March 21, 2020","After staying in at the Park Central 10 years ago, my partner and I returned to the same hotel to celebrate an anniversary.  Apart from being modernised, the hotel was the same as we remembered, clean, modern and friendly staff.  Michalyn from customer services at the hotel was fantastic and helped make our stay and anniversary perfect. Michalyn kindly organised a room upgrade and treats in our room. Michalyn was enthusiastic, kind and a real credit to this hotel.  The hotel location was perfect as we were 5 minute walk away from Central Park, and 10 minute walk away from Times Square.  A subway isn’t far either. The bar service is great and open till late, but sadly the hotel no longer has a restaurant. The WiFi was also fast and reliable.Look forward to another stay when the current events have passed.",,1,5.0
751299552,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or10.html?filterLang=en,Park Central Hotel New York,"March 18, 2020",I had a great experience with Mishalin. She was very assertive when I needed help contacting transportation to arrive earlier rather then the time it was scheduled. Transportation came 30 minutes earlier because of her. We were traveling on an international flight and needed to guarantee we did not miss our flight. She saved the day. We are hoping to travel back to your hotel in the near future just because of her. Thanks a bunch!,,1,5.0
750976264,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or10.html?filterLang=en,Park Central Hotel New York,"March 15, 2020",We’ve just returned home five days early from our trip to NYC and wanted to write a quick review/ thank you to the hotels guest relation staff especially Michalyn who went above & beyond helping us on our unexpectedly early check out. She made the whole process extremely easy and stress free for us both. She is a credit to the hotel and her manner could not have been more pleasant and reassuring. Thank you to everyone and we will be back ASAP.,"Essex, United Kingdom",1,5.0
750870137,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or15.html?filterLang=en,Park Central Hotel New York,"March 14, 2020","Stayed at Park Central for 4 nights. Hotel was clean, well maintained, and central to everything in lower Manhattan. Right next subway for easy access to metro. Had an billing issue that we talked to Elizabeth about, she was very helpful and took care of us. I highly recommend staying at Park Central! Will stay again! ",,0,4.0
750644183,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or15.html?filterLang=en,Park Central Hotel New York,"March 12, 2020","For the money and location, this is not a bad place to stay. The elevators are small and if you’re staying during “peak seasons” you could find yourself waiting a while to catch a ride up to your room. There aren’t any refrigerators, though you can request one, or microwaves which is inconvenient. The staff is extremely helpful, nice, and professional. I would stay here again!","Baton Rouge, Louisiana",19,4.0
750635661,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York-or15.html?filterLang=en,Park Central Hotel New York,"March 12, 2020","Good service at the hotel. Had a problem with a charge, and Elizabeth at the front desk was more than happy to help. The hotel was very clean and seemed to be well taken care of. I was impressed and will definitely stay here again.",,1,5.0
