review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
751105565,https://www.tripadvisor.com/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York-or0.html?filterLang=en,414 Hotel,"March 16, 2020","I love this charming little hotel. It is perfect if you want a place that is close to the Broadway district and Restaurant Row but don't want to stay right in the thick of things. It is quiet and on a charming side street. It reminds me of the smaller boutique hotels in Europe. No large scale amenities, but perfectly fine continental breakfast with cappuccino or espresso. Very easy and staff were friendly and helpful. ","Washington DC, District of Columbia",0,5.0
750730235,https://www.tripadvisor.com/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York-or0.html?filterLang=en,414 Hotel,"March 13, 2020","This gem of a hotel is very well located. Friendly, welcoming staff. Cozy, very clean, comfortable and safe. I will go back and will recommend to others looking for a European style refuge. So happy with my stay.","Pittsboro, North Carolina",2,5.0
750718808,https://www.tripadvisor.com/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York-or0.html?filterLang=en,414 Hotel,"March 13, 2020",Super staff with clean rooms and a good shower. We'll placed for town and theatres with plenty of restaurants on the doorstep. The breakfast is limited but adequate. Tea or coffee available all day and cheese and wine served early evening is a nice touch. ,,0,5.0
750448054,https://www.tripadvisor.com/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York-or0.html?filterLang=en,414 Hotel,"March 11, 2020","My husband and I were looking for a small hotel (no offense, Hiltons of NYC) close to the theater district to celebrate my birthday. We chose Hotel 414 and can’t imagine having picked a better place. We have been coming to New York City for more than 35 years. Hotel 414 is a small, boutique – style, beautifully appointed, cozy venue. The staff truly care that their guests have the best New York experience ever. A thoughtful continental breakfast greets you in the morning, and in the early evening a delightful wine and cheese, all set in a charming communal area by a fire. A quaint little courtyard joins 2 historic residential homes that have been converted into this delightful 22-room hotel. We WILL be back!","Washington, DC",5,5.0
748595449,https://www.tripadvisor.com/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York-or0.html?filterLang=en,414 Hotel,"March 1, 2020",My daughter and I have stayed 5 nights in the 414 Hotel. The hotel is only two blocks from Times Square in the Hell’s Kitchen area. Lots of restaurants nearby but the street was quiet. The room was simple but clean and the bed comfortable. You get a simple complementary breakfast and wine and cheese in the afternoon. There’s no resort fee or deposit of any kind. Friendly and helpful staff. I would definitely stay there again.,"Thorigny-sur-Marne, France",0,4.0
746553771,https://www.tripadvisor.com/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York-or5.html?filterLang=en,414 Hotel,"February 21, 2020","This was the 2nd time my husband and I stayed at the hotel and I'm so glad to say that not only did they not disappoint, but that we actually enjoyed our stay even more! The location is very convenient. (Beware, the property does not have an elevator since it is an old tenement building, which, in fact, makes it so much more charming!) Our room was clean and comfortable, we had everything we needed.The atmosphere is very homey, breakfast at a communal table and social hour in the afternoon give you a chance to talk to other guests while sipping your espresso or a nice glass of wine. The staff is remarkably friendly and helpful. Thank you, Ashley, Emmy, Rachel and Jacqui for all the advice and for making our stay very comfortable! An additional special thanks goes to Jacqui for great tips on what and where to eat. We hope to be back soon!",,2,5.0
745896143,https://www.tripadvisor.com/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York-or5.html?filterLang=en,414 Hotel,"February 18, 2020","The location (near Times Square but in a quiet street), subway really close.People who worked there are really nice, friendly and helpfull with good advices.The room is clean, the bed is confortable.The atmosphere is so good. You share with the other clients.",,7,5.0
744134018,https://www.tripadvisor.com/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York-or5.html?filterLang=en,414 Hotel,"February 10, 2020","great location, very nice and helpful staff, morning breakfast and evening cocktail hour very nice touch. our room would have benefited from a fresh coat of paint and a new carpet . it is a great location!",,0,3.0
744130686,https://www.tripadvisor.com/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York-or5.html?filterLang=en,414 Hotel,"February 10, 2020",I do not recommend staying at this hotel. Very loud. Bed uncomfortable. No elevator. If you are looking for a nice place to stay with character or a boutique hotel feel then this is not the place to go. Online reviews not accurate.,,0,1.0
744009562,https://www.tripadvisor.com/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York-or5.html?filterLang=en,414 Hotel,"February 9, 2020",My son and I enjoyed an amazing NYC weekend at Hotel 414. The staff were incredibly welcoming and helpful. The lobby area and room were clean and charming. Delicious coffee and a wine and cheese social hour where we met interesting people from all over the world. What a gem!,,0,5.0
