review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
753135876,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or0.html?filterLang=en,Hotel Henri,"May 4, 2020",Me and my Wife Had an Amazing stay the service was great i definitely recommend this hotel. Also there was this lovely Front Desk associate by the name of Courtney she always kept a smile on her face was a huge help,,0,5.0
753123398,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or0.html?filterLang=en,Hotel Henri,"May 3, 2020",I booked this hotel for the weekend to have a romantic getaway with my boyfriend the hotel is beautiful. When we arrived I was greeted with a big smile but the front desk agent Courtney she was very sweet and energetic she answered all my questions and got me checked in right away. The room was beautiful I loved the bathroom for the most part its great lighting and I loved doing my make. The shower was amazing it did leak just a little but nothing I couldn’t deal with the management team greeted me every time I came and went. I would most definitely be booking this hotel again soon.,,0,5.0
751008707,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or0.html?filterLang=en,Hotel Henri,"March 15, 2020",This hotel is Great i would recommend you stay here ! I Came and stay for a personal trip. Hotel very clean and friendly i was greeted by the front desk Host her name is Courtney she’s very welcoming and friendly with her Big Bright small.I checked in with her and Also Checked out she was there my Entire stay ! She made sure everything was In tack for my stay.My room was Nice and Clean the bed linens was fresh and smelt amazing ..Room not as big as i thought but that’s minor the Mirrors made up for the size of the room they are Amazing ! I really enjoyed my stay and will Be back to visit again..,,0,5.0
750541873,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or0.html?filterLang=en,Hotel Henri,"March 11, 2020","The hotel was very clean , not really family oriented bc they are selling weed at the front desk , lol but hey was a great experience for me. Visited the roof top inside the hotel. I walked to the Empire State Building in10 minutes and Time Square in about 18 minutes. Staff was very nice , almost perfect.",,0,5.0
750472303,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or0.html?filterLang=en,Hotel Henri,"March 11, 2020",This was a trip I planned for my anniversary and I was happy with the location of the hotel very accessible to subway stations and New York landmarks. Rooms were a bit small and housekeeping could do a lot better but the staff made it a fun stay. Courtney at the front desk was really sweet. One night me and my girl were on our way back in from a night out and walking past the front desk there was a strong smell of marijuana which is legalized where I live. I decided to ask Courtney if she knew where I can get some for myself and she was nice enough to sell me some of her own then she even called a dealer to come to the hotel personally which I thought was really nice. All together I enjoyed my stay at this hotel despite the poor housekeeping the fact that I was I was able to get pot right from the front desk made it all better. Thanks Courtney you were amazing for that!,,1,4.0
749124498,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or5.html?filterLang=en,Hotel Henri,"March 4, 2020","Although the room was really small, the hotel is very comfortable and cute. The personal is very kind. We had a problem one day, that for some reason the forgot to clean, but the were very sorry about and gave us complement breakfast for the rest of our stay. Is very good located, great places to eat nearby and also near to the subway. Overall it was a great experience.","Guatemala City, Guatemala",5,4.0
748339866,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or5.html?filterLang=en,Hotel Henri,"February 29, 2020","I needed a hotel for one night and so happy I was recommended Hotel Henri. The property is located in the heart of Chelsea, making it convenient to everything. I arrived early to the hotel and the staff made it a priority to get my room ready so I could get settled in; they were so accommodating. The room was very clean, cozy and comfortable. I spent my evening at the rooftop lounge with friends and thoroughly enjoyed myself. I would absolutely recommend staying here!",,0,5.0
748208330,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or5.html?filterLang=en,Hotel Henri,"February 28, 2020",Wonderful location. Front desk employees are beyond thoughtful! Tons of great restaurants close by really nice pizza place right next door. Walking distance to the peloton studio which is a plus for us!!,"Monroe, New Hampshire",0,4.0
747604619,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or5.html?filterLang=en,Hotel Henri,"February 25, 2020",I loved my stay at this hotel. It is very modern and trendy Hotel. Mell at front desk was very kind. The location at this hotel is very nice. Near shopping and food. Walking down the famous 5th Avenue was very nice beautiful. Happy we chose to stay here.,,0,5.0
747508391,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or5.html?filterLang=en,Hotel Henri,"February 25, 2020",As a family we stayed at Hotel Henri in mid February. The hotel is ideally located and the rooms fine for NYC size. The free water and coffee was much appreciated...not often found in NYC. The staff were helpful and especially Courtney on our departure....she was miling through a 16hr+ shift and sorted out the bill query and organised taxi transfer tot the airport....would recommend this hotel...,,1,4.0
747172745,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or10.html?filterLang=en,Hotel Henri,"February 23, 2020","This hotel was everything I wanted it to be. Rooms are very clean. Room service was delicious. Met two wonderful girls at the front desk, though they looked overworked they we’re very sweet and pleasant, and I just wanted management to know that no matter the pressure of the job these girls were fantastic.",,0,5.0
746544927,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or10.html?filterLang=en,Hotel Henri,"February 21, 2020","Wonderful long weekend with friends in the city! Hotel Henri is wonderful, in a great area! The staff was super friendly from Courtney at the front desk to the storytelling bartender Bernie.....has a quaint rooftop bar as well. The hotel was clean and adorable. Will definitely return!",,0,5.0
746149712,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or10.html?filterLang=en,Hotel Henri,"February 19, 2020",This is a fun little place in the Flatiron district. There are lots of great restaurants close by and the hotel is clean and comfortable. The front desk staff are awesome. Melanie and Tyrel are super friendly and extremely helpful.,,0,4.0
746089166,https://www.tripadvisor.com/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri-New_York_City_New_York-or10.html?filterLang=en,Hotel Henri,"February 19, 2020",Yesid Mejia was a very helpful server and helped me navigate the breakfast menu. A nice hotel . right in the middle of the Chelsea district with lots of shops and restaurants nearby. And good subway access which is important if you are spending any amount of time in new York city and want to get around. Cecily Kahn,,0,5.0
