review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
751326811,https://www.tripadvisor.com/Hotel_Review-g14129735-d306610-Reviews-Grand_Hyatt_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Grand Hyatt Tokyo,"March 18, 2020","This is a great hotel for business or leisure. The room is big and service is excellent. Hotel is next to Roppongi Hills shopping mall. Although there is a mall entrance to the hotel, it is a long walk and not so obvious. Subway is conveniently close to the hotel so it is easy to explore Tokyo. Price is not cheap but this is a good choice","Singapore, Singapore",7,5.0
740093655,https://www.tripadvisor.com/Hotel_Review-g14129735-d306610-Reviews-Grand_Hyatt_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Grand Hyatt Tokyo,"January 19, 2020","The Grand Hyatt may be the perfect business hotel. It’s location allows access to the metro trains and you can get almost anywhere in Tokyo quickly as well as short walking distance to excellent restaurants and shopping. The hotel itself has some of the highest service standards anywhere and guests are always greeted with warm smiles and fantastic attitudes. Rooms are modern, well appointed and serviced to exacting standards. If you ever need something, just make a call to the front desk or room service and it’s delivered promptly. The pool, gym and locker room are first class. This may be the best Grand Hyatt in the world! ",,1,5.0
749939076,https://www.tripadvisor.com/Hotel_Review-g14129735-d306610-Reviews-Grand_Hyatt_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Grand Hyatt Tokyo,"March 8, 2020","Staff in this hotel went out of their way to be accommodating and helpful, they were always friendly and although lots of changes going on due to the COVID-19 threat, they seemed to handle each change effortlessly and made all guests feel at ease. Highly recommend this hotel if you want 10/10 service, cleanliness, quality of service & great rooms","Whangaparaoa, New Zealand",9,5.0
748784437,https://www.tripadvisor.com/Hotel_Review-g14129735-d306610-Reviews-Grand_Hyatt_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Grand Hyatt Tokyo,"March 2, 2020","Staff were very helpful in arranging some package deliveries of masks, alchohol swabs, etc. and followed up diligently. Good reaction by the hotel as a whole to clean, reduce buffet meals, etc. to prevent any situations ahead of the governement encouragement","Hong Kong, China",19,4.0
747469546,https://www.tripadvisor.com/Hotel_Review-g14129735-d306610-Reviews-Grand_Hyatt_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Grand Hyatt Tokyo,"February 24, 2020","The Grand Hyatt is located in Mori Building, directly accessible for Hibiya and Oedo subway lines and the airport limo bus. The rooms are spacious, great amenities, and staff incredibly hospitable as expected for the class of hotel. My personal favorite is the luxurious bathroom, modern Japanese with a deep tub that fills so quickly (with bath salts!) and rainforest shower in the bath room, and separate high end Toto toilet. Super high pressure water.If you look enough ahead of time, rooms may be available at lower rates and even better value. Beds may be a little hard for some, though still some of the most comfortable and best night sleep of Japanese hotels.","San Francisco, California, United States",2,5.0
747383155,https://www.tripadvisor.com/Hotel_Review-g14129735-d306610-Reviews-Grand_Hyatt_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Grand Hyatt Tokyo,"February 24, 2020","Located right in Roppongi Hills, which is a local community for English speaking foreigners, this has great access to many Western facilities (i.e. Hard Rock Cafe, Shake Shack, premium Shopping Center) and many others. This hotel is top quality in everything, including the room; not just the lobby. And get ready to get spoiled with their premium bidets.","Anaheim, California",5,5.0
747163711,https://www.tripadvisor.com/Hotel_Review-g14129735-d306610-Reviews-Grand_Hyatt_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Grand Hyatt Tokyo,"February 23, 2020","After living in this Tokyo neighborhood for 3 years, we moved to Shanghai, China. We had already planned to travel back for a visit during Chinese New Year, and with the emergence of Corona virus we extended for 3 weeks. What the Grand Hyatt doesn’t offer Is the epic Tokyo skyline views of some competitors, but it makes up in every other category. The immediate Roppongi Hills area has an amazing range of shops and restaurants. Breakfast at the hotel’s French Kitchen is amazing even after 3 weeks. The pool and gym are spotless and beautiful. Rooms are typical luxury hotel with plenty of space. And the staff is totally accommodating, they even opened the business center early so I could make overseas video conferences. The Grand Hyatt is Tokyo at it’s best. ","Shanghai, China",14,5.0
746784981,https://www.tripadvisor.com/Hotel_Review-g14129735-d306610-Reviews-Grand_Hyatt_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Grand Hyatt Tokyo,"February 22, 2020","This is definitely the most luxurious hotel in Tokyo. The staff of this hotel must be the best in the world. The managers are well trained. They care about their guests. From the check in to the check out process, the staff of this hotel takes care of small details. The restaurants and facilities are in great shape and well maintained. I will definitely chose this hotel as my first choice when in Tokyo. ",,0,5.0
744043639,https://www.tripadvisor.com/Hotel_Review-g14129735-d306610-Reviews-Grand_Hyatt_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Grand Hyatt Tokyo,"February 9, 2020","Highly recommend this property to anyone traveling to Tokyo for business or pleasure. This was my first time staying in Roppongi. I found the hotel’s location and nearby restaurants to be easily accessible and plentiful. The hotel rooms are equipped with Handy mobile phones (pocket wifi) and Nespresso machines. The hotel staff is incredibly kind, patient and provided outstanding service during my stay. I accidentally booked duplicate rooms and the Front Desk Manager quickly corrected the situation and provided solutions. I even received a follow-up email, post departure, as the staff wanted to ensure I was satisfied. Tips:- Book a room with a view (Tokyo Tower)- Schedule time to visit the Club Lounge (superb items for breakfast and cocktail hour) - with the extra $Nearby: Sushi @ Sushi Zo or SushizanmaiDrinks @ Library Bar ","Minneapolis, Minnesota",14,5.0
743839106,https://www.tripadvisor.com/Hotel_Review-g14129735-d306610-Reviews-Grand_Hyatt_Tokyo-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Grand Hyatt Tokyo,"February 8, 2020",This is our 8th stay at Grand Hyatt Tokyo within 3 years & we considered ourselves as their regular guest. We like the location as it’s close to a lot of the fine dining restaurants & their concierge team always look after our restaurant reservations. They have the best concierge team in Japan!Always appreciate their high tech Toto toilet seat & the soft water absorbing towel. Good news is they finally upgraded their room key access to the touch card entrance which quite a lot of 5 stars hotels has already been doing that. There are still areas of improvement especially guest services area though. ,"Hong Kong, China",45,4.0
