review_id,url,hotel_name,review_date,review_body,user_location,helpful_vote,rating
751013515,https://www.tripadvisor.com/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Park Hotel Tokyo,"March 15, 2020","Stayed in the Corner King room with view of Tokyo tower and it was worth every penny. The views were incredible, including Mount Fuji on clear days. Bed was huge and room was spotless. The hotel itself is very stylish and the staff were extremely polite and helpful. The location is very good. The hotel is just above Shiodome St. which is very convenient for getting to Odaiba in particular. For access to the JR lines, Shimbashi St. is only a few minutes walk. The area directly around the hotel is quiet, but if you're looking for more eateries, bars etc., there's plenty around Shimbashi St. Will definitely stay in this hotel again and highly recommend.",Ireland,0,5.0
750018132,https://www.tripadvisor.com/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Park Hotel Tokyo,"March 9, 2020","A modern, spacious and good value hotel conveniently located near two subway lines. We pain a little more for the Tokyo tower view and it was most definitely worth it. Woke up on the first morning to a spectacular view of Mt Fuji as a backdrop. Will be using this hotel again.","Workington, United Kingdom",11,5.0
749855396,https://www.tripadvisor.com/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Park Hotel Tokyo,"March 8, 2020","We booked this hotel as a central spot to be able to tour Tokyo for a couple of days before boarding a cruise at the Yokohama terminal. We really liked the convenience of the train stations beneath the hotel. The location is in a non-touristy area so it was really neat to see the regular activity of Tokyo. The hotel had a nice breakfast - we paid for it only once though as it was a bit pricey. We couldn't pass up the convenience of the restaurant in the hotel at night though - after a long day of touring we really appreciated the good food. The bed was comfortable. The view from the room was nice - really cool to see the city buzzing down below. We could hear the trains go by - but it wasn't too disturbing. The room was perfect for what we needed. The staff was amazing - they were ready to help with any requests (extra towel, question on the area). We would stay here again if we get back to Tokyo!","Madison, Alabama",26,4.0
749409445,https://www.tripadvisor.com/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Park Hotel Tokyo,"March 5, 2020","Excellent location, staff were welcoming, helpful and very polite. Printed off a Google map for a Cafe I wanted to visit. Good variety of food at breakfast. Complementary voucher for a cocktail in the bar. Would recommend this hotel for short stays, say 3 to 5 days.",,0,5.0
748357588,https://www.tripadvisor.com/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Park Hotel Tokyo,"February 29, 2020","We booked this hotel after viewing the artist rooms online and we weren't disappointed. Although they do not assign rooms ahead of time we gave them a list of preferable rooms (if they were available) and got the geisha goldfish, which was incredible. The view of the Tokyo Tower made it even better.Staff was polite and helpful. They booked a few restaurant reservations we asked about beforehand and even gave us a map for how to locate them. The only slight downside is at one of the high end steak restaurants (Satou) they required you to book ahead of time certain meals, which we weren't aware of, so my husband was unable to get his meal of choice. On the English speaking websites we didn't see anything about this and can't blame the concierge, but just a note in the future would be helpful for the concierge to follow up with the restaurant if any additional reservations are required.All in all would recommend! Great location (close to subways) and was the perfect choice for our honeymoon and fit within our budget. The front desk was even kind enough to give us champagne and there were decorations as well in our room. Thank you for making our four days in Tokyo for our honeymoon a wonderful time. If you are interested in additional photos/review of Park Hotel Tokyo, please see the link in my profile.","New York City, New York",1,4.0
747741798,https://www.tripadvisor.com/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Park Hotel Tokyo,"February 26, 2020","We stayed 3 nights and really liked this hotel. Staff were absolutely lovely, so friendly and helpful and they spoke excellent English. The lobby is on 25th floor and on a clear day you can see mount Fuji. The whole place is adorned with artwork. Our room was very nice, with a good bathroom and had a view of the river. They do a very nice buffet breakfast. We also ate in their Japanese restaurant one night (where they made some vegetarian ramen for me) and in their main restaurant with a more European flavour and it was all really good. It is very easy to get around with Shiadome and Shimbashi stations accessible from the subway if you take the lift down to the basement. Hamarikyu gardens are just across the road and its possible to take a cruise back from Asakusa and get off there, which is very pleasant.","Reading, United Kingdom",38,5.0
746605827,https://www.tripadvisor.com/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Park Hotel Tokyo,"February 21, 2020","Great hotel in an awesome location. The hotel is between Shimbashi station & Shidome station which will get you everywhere. Rooms are comfortable, good bed & shower, with fridge, tea & coffee. Staff are superb, very friendly & helpful. Very close to many places to eat around Shimbashi station & a Family Mart in the building","Leopold, Australia",16,5.0
745903028,https://www.tripadvisor.com/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Park Hotel Tokyo,"February 18, 2020","A very individualistic hotel dedicated to art. Very unique indeed. Had its own galleries on several floors and worth an hour or two just to look at all this within the hotel. Our regular room , albeit a bit small and with a very standard hotel interior, nonetheless had a great view of Tokyo Tower and this was especially breathtaking at night. There were some rooms decorated and painted by individual artists and each was unique and a work of art in itself literally, but we did not stay in one of these special rooms but took a regular one which was decent enough. All in all, this was quite a lovely stay during a sunny winter’s day in Tokyo and I would highly recommend this charming hotel to anyone who wants to try a hotel that is just a little different from the usual norm. Especially recommended for those artsy and creative types.....","Singapore, Singapore",5,4.0
745811328,https://www.tripadvisor.com/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Park Hotel Tokyo,"February 17, 2020","Perfect for our 4-night stay in Tokyo - the staff was super helpful and spoke great English. The Hotel is located in the Ginza area of Tokyo so it is very easy to walk to beautiful shops and great restaurants. There is posh shopping and anything you would like to eat. The hotel is also VERY accessible from the subway and train which is walkable to the hotel. The rate was very affordable and the rooms were much larger than I anticipated, plus the view was amazing! Personally, we did not eat breakfast but there is an option for breakfast in the hotel + a hotel bar.","Denver, Colorado",10,5.0
745519179,https://www.tripadvisor.com/Hotel_Review-g1066451-d301657-Reviews-Park_Hotel_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Park Hotel Tokyo,"February 16, 2020",Great hotel in an excellent situation staff were very welcoming Breakfast good easy to get a cab right outsideView from reception looked out over the city and could see bullet trains go by frequently,"Worcester, United Kingdom",9,5.0
